Model,Features,ROC-AUC,95% CI,CV ROC-AUC,Accuracy,Precision,Recall,F1
Clinical Only,6,0.7721,"[0.6753, 0.8632]",0.7360 +/- 0.0467,0.5556,0.5000,0.8864,0.6393
Combined (no FS),70,0.7029,"[0.6000, 0.8003]",0.6967 +/- 0.0456,0.6263,0.5714,0.6364,0.6022
A_L1_LR,10,0.7653,"[0.6690, 0.8525]",0.7206 +/- 0.0484,0.6566,0.5926,0.7273,0.6531
B_ElasticNet,23,0.2504,"[0.1555, 0.3513]",0.7297 +/- 0.0467,0.5556,0.0000,0.0000,0.0000
C_RFECV,4,0.7988,"[0.7061, 0.8808]",0.7198 +/- 0.0548,0.6869,0.6275,0.7273,0.6737
D_K10,10,0.7331,"[0.6288, 0.8277]",0.6733 +/- 0.0530,0.6566,0.6042,0.6591,0.6304
D_K20,20,0.7339,"[0.6317, 0.8305]",0.6894 +/- 0.0524,0.6566,0.6000,0.6818,0.6383
D_K30,30,0.7560,"[0.6546, 0.8457]",0.6928 +/- 0.0430,0.6465,0.5918,0.6591,0.6237
D_K40,40,0.6570,"[0.5458, 0.7646]",0.6992 +/- 0.0450,0.6162,0.5652,0.5909,0.5778
D_K50,50,0.7279,"[0.6279, 0.8212]",0.6999 +/- 0.0488,0.6465,0.5882,0.6818,0.6316
