feature,selection_count,selection_rate
T1_global_ed_en_ratio,3,1.0
T2_global_ed_en_ratio,3,1.0
T1GD_global_ed_en_ratio,3,1.0
T1GD_temporal_en_ratio,3,1.0
age,3,1.0
who_grade,3,1.0
eor,3,1.0
T1_global_nc_en_ratio,2,0.6666666666666666
T1_frontal_ed_ratio,2,0.6666666666666666
T1_temporal_nc_ratio,2,0.6666666666666666
T1_parietal_en_ratio,2,0.6666666666666666
T2_global_nc_en_ratio,2,0.6666666666666666
T2_occipital_en_ratio,2,0.6666666666666666
T2_occipital_nc_ratio,2,0.6666666666666666
T1GD_frontal_en_ratio,2,0.6666666666666666
T1GD_parietal_nc_ratio,2,0.6666666666666666
T1GD_occipital_en_ratio,2,0.6666666666666666
T1GD_occipital_nc_ratio,2,0.6666666666666666
FLAIR_global_nc_en_ratio,2,0.6666666666666666
FLAIR_global_ed_en_ratio,2,0.6666666666666666
FLAIR_occipital_en_ratio,2,0.6666666666666666
sex,2,0.6666666666666666
idh,2,0.6666666666666666
T1_global_ed_total_ratio,1,0.3333333333333333
T1_tumor_burden_index,1,0.3333333333333333
T1_frontal_en_ratio,1,0.3333333333333333
T1_frontal_nc_ratio,1,0.3333333333333333
T1_temporal_ed_ratio,1,0.3333333333333333
T1_temporal_en_ratio,1,0.3333333333333333
T1_occipital_ed_ratio,1,0.3333333333333333
T2_global_ed_total_ratio,1,0.3333333333333333
T2_tumor_burden_index,1,0.3333333333333333
T2_temporal_ed_ratio,1,0.3333333333333333
T2_occipital_ed_ratio,1,0.3333333333333333
T1GD_global_nc_en_ratio,1,0.3333333333333333
T1GD_tumor_burden_index,1,0.3333333333333333
T1GD_temporal_ed_ratio,1,0.3333333333333333
T1GD_temporal_nc_ratio,1,0.3333333333333333
T1GD_parietal_ed_ratio,1,0.3333333333333333
T1GD_parietal_en_ratio,1,0.3333333333333333
FLAIR_global_ed_total_ratio,1,0.3333333333333333
FLAIR_tumor_burden_index,1,0.3333333333333333
FLAIR_temporal_ed_ratio,1,0.3333333333333333
FLAIR_occipital_ed_ratio,1,0.3333333333333333
FLAIR_occipital_nc_ratio,1,0.3333333333333333
mgmt,1,0.3333333333333333
T1_parietal_ed_ratio,0,0.0
T1_parietal_nc_ratio,0,0.0
T1_occipital_en_ratio,0,0.0
T1_occipital_nc_ratio,0,0.0
T2_frontal_ed_ratio,0,0.0
T2_frontal_en_ratio,0,0.0
T2_frontal_nc_ratio,0,0.0
T2_temporal_en_ratio,0,0.0
T2_temporal_nc_ratio,0,0.0
T2_parietal_ed_ratio,0,0.0
T2_parietal_en_ratio,0,0.0
T2_parietal_nc_ratio,0,0.0
T1GD_global_ed_total_ratio,0,0.0
T1GD_frontal_ed_ratio,0,0.0
T1GD_frontal_nc_ratio,0,0.0
T1GD_occipital_ed_ratio,0,0.0
FLAIR_frontal_ed_ratio,0,0.0
FLAIR_frontal_en_ratio,0,0.0
FLAIR_frontal_nc_ratio,0,0.0
FLAIR_temporal_en_ratio,0,0.0
FLAIR_temporal_nc_ratio,0,0.0
FLAIR_parietal_ed_ratio,0,0.0
FLAIR_parietal_en_ratio,0,0.0
FLAIR_parietal_nc_ratio,0,0.0
