model,feature
A_L1_LR,T1_global_ed_en_ratio
A_L1_LR,T1_temporal_ed_ratio
A_L1_LR,T2_global_ed_en_ratio
A_L1_LR,T1GD_global_ed_en_ratio
A_L1_LR,T1GD_frontal_en_ratio
A_L1_LR,T1GD_temporal_en_ratio
A_L1_LR,FLAIR_global_ed_en_ratio
A_L1_LR,age
A_L1_LR,who_grade
A_L1_LR,eor
B_ElasticNet,T1_tumor_burden_index
B_ElasticNet,T1_frontal_ed_ratio
B_ElasticNet,T1_frontal_nc_ratio
B_ElasticNet,T1_temporal_en_ratio
B_ElasticNet,T1_temporal_nc_ratio
B_ElasticNet,T1_parietal_en_ratio
B_ElasticNet,T1_parietal_nc_ratio
B_ElasticNet,T1_occipital_ed_ratio
B_ElasticNet,T2_tumor_burden_index
B_ElasticNet,T2_temporal_en_ratio
B_ElasticNet,T2_occipital_ed_ratio
B_ElasticNet,T1GD_tumor_burden_index
B_ElasticNet,T1GD_temporal_en_ratio
B_ElasticNet,T1GD_temporal_nc_ratio
B_ElasticNet,T1GD_parietal_ed_ratio
B_ElasticNet,T1GD_parietal_en_ratio
B_ElasticNet,T1GD_parietal_nc_ratio
B_ElasticNet,FLAIR_tumor_burden_index
B_ElasticNet,FLAIR_temporal_en_ratio
B_ElasticNet,FLAIR_occipital_ed_ratio
B_ElasticNet,age
B_ElasticNet,who_grade
B_ElasticNet,eor
C_RFECV,T1GD_frontal_en_ratio
C_RFECV,T1GD_temporal_en_ratio
C_RFECV,age
C_RFECV,eor
D_K10,T1_global_ed_en_ratio
D_K10,T1_frontal_nc_ratio
D_K10,T1_temporal_en_ratio
D_K10,T2_temporal_ed_ratio
D_K10,T2_temporal_en_ratio
D_K10,T1GD_temporal_ed_ratio
D_K10,FLAIR_global_ed_en_ratio
D_K10,FLAIR_temporal_ed_ratio
D_K10,FLAIR_temporal_en_ratio
D_K10,age
D_K20,T1_global_ed_en_ratio
D_K20,T1_tumor_burden_index
D_K20,T1_frontal_nc_ratio
D_K20,T1_parietal_ed_ratio
D_K20,T2_global_ed_en_ratio
D_K20,T2_global_ed_total_ratio
D_K20,T2_tumor_burden_index
D_K20,T2_frontal_en_ratio
D_K20,T2_temporal_ed_ratio
D_K20,T2_temporal_en_ratio
D_K20,T2_temporal_nc_ratio
D_K20,T1GD_global_ed_en_ratio
D_K20,T1GD_tumor_burden_index
D_K20,T1GD_frontal_nc_ratio
D_K20,T1GD_temporal_ed_ratio
D_K20,FLAIR_global_ed_en_ratio
D_K20,FLAIR_tumor_burden_index
D_K20,FLAIR_temporal_ed_ratio
D_K20,FLAIR_temporal_en_ratio
D_K20,age
D_K30,T1_global_nc_en_ratio
D_K30,T1_global_ed_en_ratio
D_K30,T1_tumor_burden_index
D_K30,T1_frontal_en_ratio
D_K30,T1_frontal_nc_ratio
D_K30,T1_temporal_ed_ratio
D_K30,T1_temporal_en_ratio
D_K30,T2_global_ed_en_ratio
D_K30,T2_global_ed_total_ratio
D_K30,T2_tumor_burden_index
D_K30,T2_frontal_en_ratio
D_K30,T2_temporal_ed_ratio
D_K30,T2_parietal_ed_ratio
D_K30,T2_occipital_ed_ratio
D_K30,T1GD_global_ed_en_ratio
D_K30,T1GD_tumor_burden_index
D_K30,T1GD_frontal_en_ratio
D_K30,T1GD_frontal_nc_ratio
D_K30,T1GD_temporal_ed_ratio
D_K30,T1GD_temporal_en_ratio
D_K30,T1GD_parietal_en_ratio
D_K30,FLAIR_global_ed_en_ratio
D_K30,FLAIR_tumor_burden_index
D_K30,FLAIR_frontal_en_ratio
D_K30,FLAIR_temporal_ed_ratio
D_K30,FLAIR_temporal_en_ratio
D_K30,FLAIR_temporal_nc_ratio
D_K30,age
D_K30,idh
D_K30,eor
D_K40,T1_global_ed_en_ratio
D_K40,T1_global_ed_total_ratio
D_K40,T1_tumor_burden_index
D_K40,T1_frontal_ed_ratio
D_K40,T1_frontal_en_ratio
D_K40,T1_frontal_nc_ratio
D_K40,T1_temporal_ed_ratio
D_K40,T1_temporal_en_ratio
D_K40,T2_global_ed_en_ratio
D_K40,T2_global_ed_total_ratio
D_K40,T2_tumor_burden_index
D_K40,T2_frontal_en_ratio
D_K40,T2_frontal_nc_ratio
D_K40,T2_temporal_ed_ratio
D_K40,T2_temporal_en_ratio
D_K40,T2_temporal_nc_ratio
D_K40,T2_parietal_ed_ratio
D_K40,T2_parietal_nc_ratio
D_K40,T2_occipital_ed_ratio
D_K40,T1GD_global_ed_en_ratio
D_K40,T1GD_global_ed_total_ratio
D_K40,T1GD_tumor_burden_index
D_K40,T1GD_frontal_en_ratio
D_K40,T1GD_temporal_ed_ratio
D_K40,T1GD_temporal_en_ratio
D_K40,T1GD_temporal_nc_ratio
D_K40,T1GD_parietal_en_ratio
D_K40,T1GD_occipital_ed_ratio
D_K40,FLAIR_global_nc_en_ratio
D_K40,FLAIR_global_ed_en_ratio
D_K40,FLAIR_global_ed_total_ratio
D_K40,FLAIR_tumor_burden_index
D_K40,FLAIR_frontal_en_ratio
D_K40,FLAIR_frontal_nc_ratio
D_K40,FLAIR_temporal_ed_ratio
D_K40,FLAIR_temporal_en_ratio
D_K40,FLAIR_occipital_en_ratio
D_K40,age
D_K40,idh
D_K40,who_grade
D_K50,T1_global_ed_en_ratio
D_K50,T1_global_ed_total_ratio
D_K50,T1_tumor_burden_index
D_K50,T1_frontal_ed_ratio
D_K50,T1_frontal_en_ratio
D_K50,T1_frontal_nc_ratio
D_K50,T1_temporal_ed_ratio
