feature,count,rate
age,50,1.0
eor,50,1.0
T1GD_frontal_en_ratio,28,0.5599999999999999
T1GD_temporal_en_ratio,19,0.38
who_grade,18,0.36
T1_temporal_nc_ratio,5,0.1
T1_temporal_ed_ratio,3,0.06
T2_global_ed_en_ratio,2,0.04
T1GD_global_nc_en_ratio,2,0.04
T1GD_global_ed_en_ratio,2,0.04
T1_global_ed_en_ratio,2,0.04
T2_frontal_en_ratio,2,0.04
sex,1,0.02
T1_frontal_en_ratio,1,0.02
T1GD_frontal_nc_ratio,1,0.02
FLAIR_parietal_nc_ratio,1,0.02
FLAIR_frontal_en_ratio,1,0.02
T1GD_temporal_ed_ratio,1,0.02
T2_temporal_en_ratio,1,0.02
