repeat,fold,n_selected,selected_features,roc_auc,accuracy,precision,recall,f1_score
1,1,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7209302325581395,0.6666666666666666,0.625,0.5813953488372093,0.6024096385542169
1,2,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.6177685950413223,0.6161616161616161,0.5625,0.6136363636363636,0.5869565217391305
1,3,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7119834710743802,0.6565656565656566,0.6136363636363636,0.6136363636363636,0.6136363636363636
1,4,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7608879492600422,0.7448979591836735,0.75,0.627906976744186,0.6835443037974683
1,5,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.803171247357294,0.7346938775510204,0.6888888888888889,0.7209302325581395,0.7045454545454546
2,1,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7734634551495018,0.7474747474747475,0.725,0.6744186046511628,0.6987951807228916
2,2,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7328512396694215,0.7070707070707071,0.6595744680851063,0.7045454545454546,0.6813186813186813
2,3,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7225206611570247,0.6363636363636364,0.5952380952380952,0.5681818181818182,0.5813953488372093
2,4,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7469344608879492,0.6938775510204082,0.6511627906976745,0.6511627906976745,0.6511627906976745
2,5,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7359408033826638,0.6530612244897959,0.6046511627906976,0.6046511627906976,0.6046511627906976
3,1,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7292358803986712,0.6767676767676768,0.6666666666666666,0.5116279069767442,0.5789473684210527
