repeat,fold,roc_auc,accuracy,precision,recall,f1_score,feature_set,model
1,1,0.6586378737541528,0.6666666666666666,0.625,0.5813953488372093,0.6024096385542169,Spatial Only,Logistic Regression
2,2,0.5652892561983472,0.5353535353535354,0.4772727272727273,0.4772727272727273,0.4772727272727273,Spatial Only,Logistic Regression
3,3,0.6677685950413224,0.5959595959595959,0.5416666666666666,0.5909090909090909,0.5652173913043478,Spatial Only,Logistic Regression
4,4,0.6169133192389006,0.5918367346938775,0.5348837209302325,0.5348837209302325,0.5348837209302325,Spatial Only,Logistic Regression
5,5,0.5179704016913319,0.5612244897959183,0.5,0.3488372093023256,0.410958904109589,Spatial Only,Logistic Regression
6,1,0.6225083056478404,0.6060606060606061,0.5454545454545454,0.5581395348837209,0.5517241379310345,Spatial Only,Logistic Regression
7,2,0.6396694214876033,0.6161616161616161,0.5576923076923077,0.6590909090909091,0.6041666666666666,Spatial Only,Logistic Regression
8,3,0.6194214876033057,0.5959595959595959,0.5454545454545454,0.5454545454545454,0.5454545454545454,Spatial Only,Logistic Regression
9,4,0.6042283298097252,0.5714285714285714,0.5135135135135135,0.4418604651162791,0.475,Spatial Only,Logistic Regression
10,5,0.53446088794926,0.5,0.4,0.27906976744186046,0.3287671232876712,Spatial Only,Logistic Regression
11,1,0.571843853820598,0.6060606060606061,0.5588235294117647,0.4418604651162791,0.4935064935064935,Spatial Only,Logistic Regression
12,2,0.5925619834710744,0.5858585858585859,0.5319148936170213,0.5681818181818182,0.5494505494505495,Spatial Only,Logistic Regression
13,3,0.6681818181818182,0.6060606060606061,0.5555555555555556,0.5681818181818182,0.5617977528089888,Spatial Only,Logistic Regression
14,4,0.5780126849894291,0.5816326530612245,0.525,0.4883720930232558,0.5060240963855421,Spatial Only,Logistic Regression
15,5,0.6701902748414376,0.6530612244897959,0.6097560975609756,0.5813953488372093,0.5952380952380952,Spatial Only,Logistic Regression
16,1,0.6897840531561461,0.6565656565656566,0.6285714285714286,0.5116279069767442,0.5641025641025641,Spatial Only,Logistic Regression
17,2,0.5665289256198347,0.5858585858585859,0.5454545454545454,0.4090909090909091,0.4675324675324675,Spatial Only,Logistic Regression
18,3,0.5582644628099174,0.5050505050505051,0.45098039215686275,0.5227272727272727,0.4842105263157895,Spatial Only,Logistic Regression
19,4,0.5835095137420719,0.6326530612244898,0.5777777777777777,0.6046511627906976,0.5909090909090909,Spatial Only,Logistic Regression
20,5,0.6773784355179703,0.6122448979591837,0.5555555555555556,0.5813953488372093,0.5681818181818182,Spatial Only,Logistic Regression
21,1,0.582641196013289,0.5858585858585859,0.5227272727272727,0.5348837209302325,0.5287356321839081,Spatial Only,Logistic Regression
22,2,0.6268595041322313,0.5757575757575758,0.5217391304347826,0.5454545454545454,0.5333333333333333,Spatial Only,Logistic Regression
23,3,0.5256198347107438,0.5757575757575758,0.5333333333333333,0.36363636363636365,0.43243243243243246,Spatial Only,Logistic Regression
24,4,0.6570824524312896,0.6224489795918368,0.575,0.5348837209302325,0.5542168674698795,Spatial Only,Logistic Regression
25,5,0.6291754756871035,0.5918367346938775,0.5333333333333333,0.5581395348837209,0.5454545454545454,Spatial Only,Logistic Regression
1,1,0.6054817275747508,0.5454545454545454,0.4791666666666667,0.5348837209302325,0.5054945054945055,Spatial Only,Random Forest
2,2,0.6252066115702479,0.6161616161616161,0.5535714285714286,0.7045454545454546,0.62,Spatial Only,Random Forest
3,3,0.7097107438016529,0.6565656565656566,0.5892857142857143,0.75,0.66,Spatial Only,Random Forest
4,4,0.6790697674418604,0.6020408163265306,0.53125,0.7906976744186046,0.6355140186915887,Spatial Only,Random Forest
5,5,0.56215644820296,0.5306122448979592,0.46938775510204084,0.5348837209302325,0.5,Spatial Only,Random Forest
6,1,0.6781561461794019,0.5959595959595959,0.5238095238095238,0.7674418604651163,0.6226415094339622,Spatial Only,Random Forest
7,2,0.5863636363636364,0.5656565656565656,0.509090909090909,0.6363636363636364,0.5656565656565656,Spatial Only,Random Forest
8,3,0.6177685950413222,0.5858585858585859,0.5254237288135594,0.7045454545454546,0.6019417475728155,Spatial Only,Random Forest
9,4,0.6553911205073996,0.6326530612244898,0.5660377358490566,0.6976744186046512,0.625,Spatial Only,Random Forest
10,5,0.6355179704016913,0.6224489795918368,0.56,0.6511627906976745,0.6021505376344086,Spatial Only,Random Forest
11,1,0.5884551495016611,0.5757575757575758,0.5084745762711864,0.6976744186046512,0.5882352941176471,Spatial Only,Random Forest
12,2,0.6107438016528925,0.5757575757575758,0.5178571428571429,0.6590909090909091,0.58,Spatial Only,Random Forest
13,3,0.6946280991735537,0.6464646464646465,0.5849056603773585,0.7045454545454546,0.6391752577319587,Spatial Only,Random Forest
14,4,0.6,0.5306122448979592,0.46808510638297873,0.5116279069767442,0.4888888888888889,Spatial Only,Random Forest
15,5,0.6761099365750528,0.6122448979591837,0.543859649122807,0.7209302325581395,0.62,Spatial Only,Random Forest
16,1,0.7030730897009966,0.6363636363636364,0.5636363636363636,0.7209302325581395,0.6326530612244898,Spatial Only,Random Forest
17,2,0.687603305785124,0.6262626262626263,0.5686274509803921,0.6590909090909091,0.6105263157894737,Spatial Only,Random Forest
18,3,0.5814049586776859,0.5454545454545454,0.49206349206349204,0.7045454545454546,0.5794392523364486,Spatial Only,Random Forest
19,4,0.6329809725158562,0.5510204081632653,0.4918032786885246,0.6976744186046512,0.5769230769230769,Spatial Only,Random Forest
20,5,0.5813953488372093,0.6224489795918368,0.5535714285714286,0.7209302325581395,0.6262626262626263,Spatial Only,Random Forest
21,1,0.6428571428571429,0.6161616161616161,0.5471698113207547,0.6744186046511628,0.6041666666666666,Spatial Only,Random Forest
22,2,0.6264462809917356,0.5959595959595959,0.532258064516129,0.75,0.6226415094339622,Spatial Only,Random Forest
23,3,0.5066115702479339,0.494949494949495,0.45,0.6136363636363636,0.5192307692307693,Spatial Only,Random Forest
24,4,0.679492600422833,0.6326530612244898,0.5714285714285714,0.6511627906976745,0.6086956521739131,Spatial Only,Random Forest
25,5,0.6630021141649048,0.6122448979591837,0.5454545454545454,0.6976744186046512,0.6122448979591837,Spatial Only,Random Forest
1,1,0.6287375415282391,0.6262626262626263,0.575,0.5348837209302325,0.5542168674698795,Spatial Only,XGBoost
2,2,0.6070247933884297,0.5555555555555556,0.5,0.5,0.5,Spatial Only,XGBoost
3,3,0.6537190082644627,0.6262626262626263,0.6060606060606061,0.45454545454545453,0.5194805194805194,Spatial Only,XGBoost
4,4,0.5957716701902749,0.5612244897959183,0.5,0.4883720930232558,0.49411764705882355,Spatial Only,XGBoost
5,5,0.5221987315010571,0.6020408163265306,0.5769230769230769,0.3488372093023256,0.43478260869565216,Spatial Only,XGBoost
6,1,0.6233388704318937,0.6161616161616161,0.5581395348837209,0.5581395348837209,0.5581395348837209,Spatial Only,XGBoost
7,2,0.5865702479338843,0.5959595959595959,0.5625,0.4090909090909091,0.47368421052631576,Spatial Only,XGBoost
8,3,0.6349173553719007,0.5858585858585859,0.5333333333333333,0.5454545454545454,0.5393258426966292,Spatial Only,XGBoost
9,4,0.6329809725158563,0.6122448979591837,0.5862068965517241,0.3953488372093023,0.4722222222222222,Spatial Only,XGBoost
10,5,0.5835095137420718,0.5408163265306123,0.4642857142857143,0.3023255813953488,0.36619718309859156,Spatial Only,XGBoost
11,1,0.6133720930232558,0.5959595959595959,0.5333333333333333,0.5581395348837209,0.5454545454545454,Spatial Only,XGBoost
12,2,0.5735537190082645,0.5656565656565656,0.5135135135135135,0.4318181818181818,0.4691358024691358,Spatial Only,XGBoost
13,3,0.6489669421487604,0.6262626262626263,0.5945945945945946,0.5,0.5432098765432098,Spatial Only,XGBoost
14,4,0.5560253699788583,0.5204081632653061,0.4473684210526316,0.3953488372093023,0.41975308641975306,Spatial Only,XGBoost
15,5,0.664693446088795,0.5918367346938775,0.5365853658536586,0.5116279069767442,0.5238095238095238,Spatial Only,XGBoost
16,1,0.7138704318936877,0.6464646464646465,0.6052631578947368,0.5348837209302325,0.5679012345679012,Spatial Only,XGBoost
17,2,0.6661157024793388,0.6060606060606061,0.5862068965517241,0.38636363636363635,0.4657534246575342,Spatial Only,XGBoost
18,3,0.58801652892562,0.5757575757575758,0.5208333333333334,0.5681818181818182,0.5434782608695652,Spatial Only,XGBoost
19,4,0.606553911205074,0.6122448979591837,0.5581395348837209,0.5581395348837209,0.5581395348837209,Spatial Only,XGBoost
20,5,0.5630021141649049,0.5,0.40625,0.3023255813953488,0.3466666666666667,Spatial Only,XGBoost
21,1,0.6276993355481727,0.5959595959595959,0.5428571428571428,0.4418604651162791,0.48717948717948717,Spatial Only,XGBoost
22,2,0.6082644628099174,0.5656565656565656,0.5121951219512195,0.4772727272727273,0.49411764705882355,Spatial Only,XGBoost
23,3,0.5609504132231405,0.5353535353535354,0.48,0.5454545454545454,0.5106382978723404,Spatial Only,XGBoost
24,4,0.6359408033826638,0.5816326530612245,0.53125,0.3953488372093023,0.4533333333333333,Spatial Only,XGBoost
25,5,0.6427061310782242,0.6224489795918368,0.5882352941176471,0.46511627906976744,0.5194805194805194,Spatial Only,XGBoost
1,1,0.675249169435216,0.6464646464646465,0.6,0.5581395348837209,0.5783132530120482,Spatial Only,SVM (RBF)
2,2,0.6359504132231405,0.5959595959595959,0.5476190476190477,0.5227272727272727,0.5348837209302325,Spatial Only,SVM (RBF)
3,3,0.7229338842975207,0.6363636363636364,0.6,0.5454545454545454,0.5714285714285714,Spatial Only,SVM (RBF)
4,4,0.6460887949260042,0.6326530612244898,0.5813953488372093,0.5813953488372093,0.5813953488372093,Spatial Only,SVM (RBF)
5,5,0.5035940803382664,0.5204081632653061,0.4444444444444444,0.37209302325581395,0.4050632911392405,Spatial Only,SVM (RBF)
6,1,0.6549003322259136,0.6262626262626263,0.5714285714285714,0.5581395348837209,0.5647058823529412,Spatial Only,SVM (RBF)
7,2,0.6057851239669422,0.5353535353535354,0.4807692307692308,0.5681818181818182,0.5208333333333334,Spatial Only,SVM (RBF)
8,3,0.6239669421487604,0.5959595959595959,0.5454545454545454,0.5454545454545454,0.5454545454545454,Spatial Only,SVM (RBF)
9,4,0.681183932346723,0.673469387755102,0.6571428571428571,0.5348837209302325,0.5897435897435898,Spatial Only,SVM (RBF)
10,5,0.5826638477801269,0.5918367346938775,0.5454545454545454,0.4186046511627907,0.47368421052631576,Spatial Only,SVM (RBF)
11,1,0.5801495016611296,0.5959595959595959,0.5428571428571428,0.4418604651162791,0.48717948717948717,Spatial Only,SVM (RBF)
12,2,0.6392561983471075,0.6262626262626263,0.5813953488372093,0.5681818181818182,0.5747126436781609,Spatial Only,SVM (RBF)
13,3,0.6979338842975207,0.6464646464646465,0.6,0.6136363636363636,0.6067415730337079,Spatial Only,SVM (RBF)
14,4,0.5913319238900634,0.5918367346938775,0.5365853658536586,0.5116279069767442,0.5238095238095238,Spatial Only,SVM (RBF)
15,5,0.6689217758985202,0.6428571428571429,0.6,0.5581395348837209,0.5783132530120482,Spatial Only,SVM (RBF)
16,1,0.7223837209302326,0.6666666666666666,0.631578947368421,0.5581395348837209,0.5925925925925926,Spatial Only,SVM (RBF)
17,2,0.6605371900826447,0.5959595959595959,0.5714285714285714,0.36363636363636365,0.4444444444444444,Spatial Only,SVM (RBF)
18,3,0.5739669421487603,0.5555555555555556,0.5,0.5681818181818182,0.5319148936170213,Spatial Only,SVM (RBF)
19,4,0.6232558139534883,0.6122448979591837,0.5675675675675675,0.4883720930232558,0.525,Spatial Only,SVM (RBF)
20,5,0.6496828752642706,0.6224489795918368,0.5652173913043478,0.6046511627906976,0.5842696629213483,Spatial Only,SVM (RBF)
21,1,0.6112956810631229,0.5858585858585859,0.5208333333333334,0.5813953488372093,0.5494505494505495,Spatial Only,SVM (RBF)
22,2,0.65,0.6262626262626263,0.5777777777777777,0.5909090909090909,0.5842696629213483,Spatial Only,SVM (RBF)
23,3,0.5318181818181819,0.6060606060606061,0.5714285714285714,0.45454545454545453,0.5063291139240507,Spatial Only,SVM (RBF)
24,4,0.619661733615222,0.5612244897959183,0.5,0.4883720930232558,0.49411764705882355,Spatial Only,SVM (RBF)
25,5,0.6617336152219873,0.6224489795918368,0.5789473684210527,0.5116279069767442,0.5432098765432098,Spatial Only,SVM (RBF)
1,1,0.7362956810631229,0.696969696969697,0.6274509803921569,0.7441860465116279,0.6808510638297872,Clinical + Molecular,Logistic Regression
2,2,0.7425619834710744,0.696969696969697,0.6296296296296297,0.7727272727272727,0.6938775510204082,Clinical + Molecular,Logistic Regression
3,3,0.7473140495867769,0.6464646464646465,0.5818181818181818,0.7272727272727273,0.6464646464646465,Clinical + Molecular,Logistic Regression
4,4,0.800845665961945,0.673469387755102,0.5873015873015873,0.8604651162790697,0.6981132075471698,Clinical + Molecular,Logistic Regression
5,5,0.6727272727272727,0.6224489795918368,0.5625,0.627906976744186,0.5934065934065934,Clinical + Molecular,Logistic Regression
6,1,0.742109634551495,0.696969696969697,0.6226415094339622,0.7674418604651163,0.6875,Clinical + Molecular,Logistic Regression
7,2,0.7051652892561984,0.6363636363636364,0.5689655172413793,0.75,0.6470588235294118,Clinical + Molecular,Logistic Regression
8,3,0.6931818181818182,0.6262626262626263,0.5614035087719298,0.7272727272727273,0.6336633663366337,Clinical + Molecular,Logistic Regression
9,4,0.7784355179704017,0.7142857142857143,0.6470588235294118,0.7674418604651163,0.7021276595744681,Clinical + Molecular,Logistic Regression
10,5,0.7610993657505285,0.6632653061224489,0.5925925925925926,0.7441860465116279,0.6597938144329897,Clinical + Molecular,Logistic Regression
11,1,0.7306893687707641,0.6565656565656566,0.5818181818181818,0.7441860465116279,0.6530612244897959,Clinical + Molecular,Logistic Regression
12,2,0.7537190082644628,0.6767676767676768,0.6,0.8181818181818182,0.6923076923076923,Clinical + Molecular,Logistic Regression
13,3,0.7388429752066116,0.7171717171717171,0.6538461538461539,0.7727272727272727,0.7083333333333334,Clinical + Molecular,Logistic Regression
14,4,0.7856236786469345,0.6836734693877551,0.6111111111111112,0.7674418604651163,0.6804123711340206,Clinical + Molecular,Logistic Regression
15,5,0.692600422832981,0.6632653061224489,0.6,0.6976744186046512,0.6451612903225806,Clinical + Molecular,Logistic Regression
16,1,0.826204318936877,0.7474747474747475,0.7045454545454546,0.7209302325581395,0.7126436781609196,Clinical + Molecular,Logistic Regression
17,2,0.7661157024793389,0.6767676767676768,0.62,0.7045454545454546,0.6595744680851063,Clinical + Molecular,Logistic Regression
18,3,0.6917355371900827,0.6666666666666666,0.5873015873015873,0.8409090909090909,0.6915887850467289,Clinical + Molecular,Logistic Regression
19,4,0.6801268498942918,0.5816326530612245,0.52,0.6046511627906976,0.5591397849462365,Clinical + Molecular,Logistic Regression
20,5,0.719661733615222,0.6530612244897959,0.576271186440678,0.7906976744186046,0.6666666666666666,Clinical + Molecular,Logistic Regression
21,1,0.7670265780730897,0.696969696969697,0.6065573770491803,0.8604651162790697,0.7115384615384616,Clinical + Molecular,Logistic Regression
22,2,0.7578512396694215,0.7070707070707071,0.6415094339622641,0.7727272727272727,0.7010309278350515,Clinical + Molecular,Logistic Regression
23,3,0.6900826446280992,0.6060606060606061,0.5409836065573771,0.75,0.6285714285714286,Clinical + Molecular,Logistic Regression
24,4,0.7543340380549683,0.6836734693877551,0.65,0.6046511627906976,0.6265060240963856,Clinical + Molecular,Logistic Regression
25,5,0.6995771670190274,0.6428571428571429,0.5740740740740741,0.7209302325581395,0.6391752577319587,Clinical + Molecular,Logistic Regression
1,1,0.7171926910299002,0.6767676767676768,0.6222222222222222,0.6511627906976745,0.6363636363636364,Clinical + Molecular,Random Forest
2,2,0.7510330578512399,0.7070707070707071,0.6744186046511628,0.6590909090909091,0.6666666666666666,Clinical + Molecular,Random Forest
3,3,0.7109504132231406,0.6262626262626263,0.574468085106383,0.6136363636363636,0.5934065934065934,Clinical + Molecular,Random Forest
4,4,0.8346723044397463,0.8061224489795918,0.75,0.8372093023255814,0.7912087912087912,Clinical + Molecular,Random Forest
5,5,0.6691331923890064,0.6428571428571429,0.6176470588235294,0.4883720930232558,0.5454545454545454,Clinical + Molecular,Random Forest
6,1,0.7279900332225914,0.6767676767676768,0.627906976744186,0.627906976744186,0.627906976744186,Clinical + Molecular,Random Forest
7,2,0.7212809917355372,0.6464646464646465,0.6285714285714286,0.5,0.5569620253164557,Clinical + Molecular,Random Forest
8,3,0.706198347107438,0.6262626262626263,0.5686274509803921,0.6590909090909091,0.6105263157894737,Clinical + Molecular,Random Forest
9,4,0.7678646934460888,0.7040816326530612,0.6666666666666666,0.6511627906976745,0.6588235294117647,Clinical + Molecular,Random Forest
10,5,0.7915433403805496,0.7142857142857143,0.6923076923076923,0.627906976744186,0.6585365853658537,Clinical + Molecular,Random Forest
11,1,0.7265365448504985,0.696969696969697,0.6666666666666666,0.6046511627906976,0.6341463414634146,Clinical + Molecular,Random Forest
12,2,0.771900826446281,0.696969696969697,0.6521739130434783,0.6818181818181818,0.6666666666666666,Clinical + Molecular,Random Forest
13,3,0.7491735537190083,0.696969696969697,0.675,0.6136363636363636,0.6428571428571429,Clinical + Molecular,Random Forest
14,4,0.758139534883721,0.7040816326530612,0.6458333333333334,0.7209302325581395,0.6813186813186813,Clinical + Molecular,Random Forest
15,5,0.6843551797040168,0.6632653061224489,0.6136363636363636,0.627906976744186,0.6206896551724138,Clinical + Molecular,Random Forest
16,1,0.8029485049833887,0.7373737373737373,0.717948717948718,0.6511627906976745,0.6829268292682927,Clinical + Molecular,Random Forest
17,2,0.753305785123967,0.7272727272727273,0.6976744186046512,0.6818181818181818,0.6896551724137931,Clinical + Molecular,Random Forest
18,3,0.712396694214876,0.6565656565656566,0.6041666666666666,0.6590909090909091,0.6304347826086957,Clinical + Molecular,Random Forest
19,4,0.726215644820296,0.6632653061224489,0.6,0.6976744186046512,0.6451612903225806,Clinical + Molecular,Random Forest
20,5,0.7158562367864694,0.6632653061224489,0.6086956521739131,0.6511627906976745,0.6292134831460674,Clinical + Molecular,Random Forest
21,1,0.7545681063122922,0.7171717171717171,0.6470588235294118,0.7674418604651163,0.7021276595744681,Clinical + Molecular,Random Forest
22,2,0.7900826446280993,0.696969696969697,0.6521739130434783,0.6818181818181818,0.6666666666666666,Clinical + Molecular,Random Forest
23,3,0.6857438016528926,0.6666666666666666,0.6170212765957447,0.6590909090909091,0.6373626373626373,Clinical + Molecular,Random Forest
24,4,0.7416490486257928,0.6836734693877551,0.6666666666666666,0.5581395348837209,0.6075949367088608,Clinical + Molecular,Random Forest
25,5,0.7,0.6530612244897959,0.6,0.627906976744186,0.6136363636363636,Clinical + Molecular,Random Forest
1,1,0.6995431893687708,0.6666666666666666,0.6388888888888888,0.5348837209302325,0.5822784810126582,Clinical + Molecular,XGBoost
2,2,0.7460743801652893,0.6666666666666666,0.6774193548387096,0.4772727272727273,0.56,Clinical + Molecular,XGBoost
