feature_set,model,roc_auc,ci_lower,ci_upper,accuracy,precision,recall,f1_score,cv_auc_mean,cv_auc_std
Spatial Only,Logistic Regression,0.6033057851239669,0.49032490860095085,0.7176299357462284,0.5959595959595959,0.5434782608695652,0.5681818181818182,0.5555555555555556,0.6089800939018698,0.049899847035393595
Spatial Only,Random Forest,0.6690082644628099,0.5587699928808733,0.7764957264957265,0.6464646464646465,0.576271186440678,0.7727272727272727,0.6601941747572816,0.6331850855275802,0.050172365289623995
Spatial Only,XGBoost,0.6574380165289256,0.5464248819362456,0.7628771260325384,0.6060606060606061,0.5806451612903226,0.4090909090909091,0.48,0.6135400043930699,0.04199039804794063
Spatial Only,SVM (RBF),0.6322314049586777,0.5227230777835782,0.7432124596555139,0.6161616161616161,0.575,0.5227272727272727,0.5476190476190477,0.6325698223552346,0.05308573390740262
Clinical + Molecular,Logistic Regression,0.7669421487603305,0.6703359387168487,0.8555571506699482,0.7171717171717171,0.6481481481481481,0.7954545454545454,0.7142857142857143,0.7373571016721122,0.03973097035979758
Clinical + Molecular,Random Forest,0.7570247933884298,0.6558387381115237,0.8487190082644628,0.6868686868686869,0.6444444444444445,0.6590909090909091,0.651685393258427,0.7388292468630735,0.03987306355255119
Clinical + Molecular,XGBoost,0.7553719008264463,0.6548610445360519,0.8478689971751413,0.6868686868686869,0.7241379310344828,0.4772727272727273,0.5753424657534246,0.7313373328574175,0.04646764168425589
Clinical + Molecular,SVM (RBF),0.7615702479338843,0.6627284748532528,0.8519071870925684,0.6868686868686869,0.6444444444444445,0.6590909090909091,0.651685393258427,0.7335308475879302,0.04109716003907013
Combined,Logistic Regression,0.728099173553719,0.6254061163939258,0.8223140861806116,0.6464646464646465,0.5918367346938775,0.6590909090909091,0.6236559139784946,0.7084925455094588,0.0476856169356857
Combined,Random Forest,0.7615702479338844,0.6597189625850339,0.8557900685173411,0.7070707070707071,0.6470588235294118,0.75,0.6947368421052632,0.696970786084951,0.049778774905466054
Combined,XGBoost,0.7632231404958678,0.6616199841167332,0.8604751116364592,0.7575757575757576,0.7631578947368421,0.6590909090909091,0.7073170731707317,0.7150956316410862,0.04237492634171403
Combined,SVM (RBF),0.6975206611570248,0.5925918273645547,0.8008743090769559,0.6363636363636364,0.5833333333333334,0.6363636363636364,0.6086956521739131,0.7147023969687817,0.048404191690391375
