Model,Metric,PointEstimate,CI_Lower,CI_Upper,CI_Display
spatial,accuracy,0.6162,0.5253,0.7071,"61.62% [52.53%, 70.71%]"
spatial,precision,0.575,0.4222,0.7273,"57.50% [42.22%, 72.73%]"
spatial,recall,0.5227,0.3778,0.6731,"52.27% [37.78%, 67.31%]"
spatial,f1_score,0.5476,0.4118,0.6667,"54.76% [41.18%, 66.67%]"
metadata,accuracy,0.5556,0.4545,0.6566,"55.56% [45.45%, 65.66%]"
metadata,precision,0.5,0.3871,0.6145,"50.00% [38.71%, 61.45%]"
metadata,recall,0.8864,0.7872,0.9756,"88.64% [78.72%, 97.56%]"
metadata,f1_score,0.6393,0.531,0.7353,"63.93% [53.10%, 73.53%]"
combined,accuracy,0.6263,0.5354,0.7172,"62.63% [53.54%, 71.72%]"
combined,precision,0.5714,0.4318,0.7119,"57.14% [43.18%, 71.19%]"
combined,recall,0.6364,0.4889,0.7755,"63.64% [48.89%, 77.55%]"
combined,f1_score,0.6022,0.4773,0.7097,"60.22% [47.73%, 70.97%]"
