feature_name,xgb_importance,mean_abs_shap,modality,lobe,subregion
T2_frontal_en_ratio,0.030164483934640884,0.3235812485218048,T2,frontal,en
T1_frontal_en_ratio,0.020225929096341133,0.23229515552520752,T1,frontal,en
T1_frontal_ed_ratio,0.013302363455295563,0.19515065848827362,T1,frontal,ed
T1_global_nc_en_ratio,0.015469822101294994,0.16603505611419678,T1,global,nc_en
T1_temporal_nc_ratio,0.015905320644378662,0.14976929128170013,T1,temporal,nc
T1_global_ed_total_ratio,0.016996435821056366,0.14530880749225616,T1,global,ed_total
T1_global_ed_en_ratio,0.015315251424908638,0.13811983168125153,T1,global,ed_en
T1_temporal_en_ratio,0.014325637370347977,0.12537281215190887,T1,temporal,en
T2_temporal_ed_ratio,0.016069307923316956,0.12446624785661697,T2,temporal,ed
T1_temporal_ed_ratio,0.015237569808959961,0.10849947482347488,T1,temporal,ed
T1_frontal_nc_ratio,0.015241957269608974,0.10147057473659515,T1,frontal,nc
T2_occipital_en_ratio,0.015212017111480236,0.0948667824268341,T2,occipital,en
T1GD_temporal_ed_ratio,0.015912234783172607,0.08740044385194778,T1GD,temporal,ed
T2_temporal_nc_ratio,0.015457041561603546,0.08661158382892609,T2,temporal,nc
T1_parietal_ed_ratio,0.013504316098988056,0.08513075113296509,T1,parietal,ed
T2_frontal_ed_ratio,0.013058644719421864,0.07675477862358093,T2,frontal,ed
T1_tumor_burden_index,0.012591122649610043,0.0734100267291069,T1,global,tumor_burden
T1_occipital_ed_ratio,0.015858184546232224,0.06826400756835938,T1,occipital,ed
T2_temporal_en_ratio,0.015399737283587456,0.06327332556247711,T2,temporal,en
T1GD_frontal_en_ratio,0.02633267641067505,0.05797338858246803,T1GD,frontal,en
T2_occipital_nc_ratio,0.020627127960324287,0.05453057959675789,T2,occipital,nc
T1GD_occipital_ed_ratio,0.013611291535198689,0.05385029688477516,T1GD,occipital,ed
T1_occipital_nc_ratio,0.018334517255425453,0.05254735052585602,T1,occipital,nc
T1GD_temporal_en_ratio,0.016695426777005196,0.05184360221028328,T1GD,temporal,en
T2_parietal_ed_ratio,0.012048616074025631,0.05084621161222458,T2,parietal,ed
T2_occipital_ed_ratio,0.011770311743021011,0.04780574515461922,T2,occipital,ed
T2_tumor_burden_index,0.01209547370672226,0.047115080058574677,T2,global,tumor_burden
T1_occipital_en_ratio,0.015021486207842827,0.045653779059648514,T1,occipital,en
T1_parietal_en_ratio,0.013044589199125767,0.042713481932878494,T1,parietal,en
T1GD_parietal_ed_ratio,0.01886020042002201,0.03320624306797981,T1GD,parietal,ed
T2_frontal_nc_ratio,0.016052810475230217,0.032822079956531525,T2,frontal,nc
T2_global_ed_en_ratio,0.016832316294312477,0.031010616570711136,T2,global,ed_en
T2_global_ed_total_ratio,0.012062868103384972,0.027633104473352432,T2,global,ed_total
T2_global_nc_en_ratio,0.014470762573182583,0.02713320404291153,T2,global,nc_en
T1GD_parietal_en_ratio,0.017160044983029366,0.027026241645216942,T1GD,parietal,en
