feature_a,feature_b,correlation_type,correlation_value,same_modality,same_lobe,same_subregion
T1_global_nc_en_ratio,T2_global_nc_en_ratio,pearson,1.0,False,True,True
T2_occipital_nc_ratio,FLAIR_occipital_nc_ratio,spearman,1.0,False,True,True
T2_temporal_nc_ratio,FLAIR_temporal_nc_ratio,spearman,1.0,False,True,True
T2_frontal_ed_ratio,FLAIR_frontal_ed_ratio,spearman,1.0,False,True,True
T2_temporal_en_ratio,FLAIR_temporal_en_ratio,spearman,1.0,False,True,True
T2_frontal_en_ratio,FLAIR_frontal_en_ratio,spearman,1.0,False,True,True
T2_global_nc_en_ratio,T1GD_global_nc_en_ratio,pearson,1.0,False,True,True
T2_global_nc_en_ratio,FLAIR_global_nc_en_ratio,pearson,1.0,False,True,True
T2_global_ed_en_ratio,T1GD_global_ed_en_ratio,pearson,1.0,False,True,True
T2_global_ed_en_ratio,FLAIR_global_ed_en_ratio,pearson,1.0,False,True,True
T2_global_ed_total_ratio,T1GD_global_ed_total_ratio,pearson,1.0,False,True,True
T2_global_ed_total_ratio,FLAIR_global_ed_total_ratio,pearson,1.0,False,True,True
T2_tumor_burden_index,T1GD_tumor_burden_index,pearson,1.0,False,True,True
T2_tumor_burden_index,FLAIR_tumor_burden_index,pearson,1.0,False,True,True
T2_frontal_ed_ratio,FLAIR_frontal_ed_ratio,pearson,1.0,False,True,True
T2_frontal_en_ratio,FLAIR_frontal_en_ratio,pearson,1.0,False,True,True
T2_frontal_nc_ratio,T1GD_frontal_nc_ratio,pearson,1.0,False,True,True
T2_frontal_nc_ratio,FLAIR_frontal_nc_ratio,pearson,1.0,False,True,True
T2_temporal_ed_ratio,FLAIR_temporal_ed_ratio,pearson,1.0,False,True,True
T2_temporal_en_ratio,FLAIR_temporal_en_ratio,pearson,1.0,False,True,True
T2_temporal_nc_ratio,FLAIR_temporal_nc_ratio,pearson,1.0,False,True,True
T2_parietal_ed_ratio,FLAIR_parietal_ed_ratio,pearson,1.0,False,True,True
T2_parietal_en_ratio,FLAIR_parietal_en_ratio,pearson,1.0,False,True,True
T2_parietal_ed_ratio,FLAIR_parietal_ed_ratio,spearman,1.0,False,True,True
T2_tumor_burden_index,FLAIR_tumor_burden_index,spearman,1.0,False,True,True
T2_parietal_en_ratio,FLAIR_parietal_en_ratio,spearman,1.0,False,True,True
T1_global_ed_total_ratio,T2_global_ed_total_ratio,pearson,1.0,False,True,True
T2_occipital_nc_ratio,T1GD_occipital_nc_ratio,spearman,1.0,False,True,True
T1GD_occipital_nc_ratio,FLAIR_occipital_nc_ratio,pearson,1.0,False,True,True
T2_global_nc_en_ratio,T1GD_global_nc_en_ratio,spearman,1.0,False,True,True
T1_global_nc_en_ratio,T2_global_nc_en_ratio,pearson,1.0,False,True,True
T1_global_nc_en_ratio,T1GD_global_nc_en_ratio,pearson,1.0,False,True,True
T1_global_nc_en_ratio,FLAIR_global_nc_en_ratio,pearson,1.0,False,True,True
T1_global_ed_en_ratio,T2_global_ed_en_ratio,pearson,1.0,False,True,True
T1_global_ed_en_ratio,T1GD_global_ed_en_ratio,pearson,1.0,False,True,True
T1_global_ed_en_ratio,FLAIR_global_ed_en_ratio,pearson,1.0,False,True,True
T1_global_ed_total_ratio,T1GD_global_ed_total_ratio,pearson,1.0,False,True,True
T2_global_ed_total_ratio,FLAIR_global_ed_total_ratio,spearman,1.0,False,True,True
T1_global_ed_total_ratio,FLAIR_global_ed_total_ratio,pearson,1.0,False,True,True
T1_global_nc_en_ratio,T1GD_global_nc_en_ratio,pearson,1.0,False,True,True
T2_occipital_en_ratio,FLAIR_occipital_en_ratio,spearman,1.0,False,True,True
T2_global_ed_en_ratio,T1GD_global_ed_en_ratio,spearman,1.0,False,True,True
T2_occipital_en_ratio,T1GD_occipital_en_ratio,spearman,1.0,False,True,True
T2_global_ed_en_ratio,FLAIR_global_ed_en_ratio,spearman,1.0,False,True,True
T2_occipital_ed_ratio,FLAIR_occipital_ed_ratio,spearman,1.0,False,True,True
T2_parietal_nc_ratio,FLAIR_parietal_nc_ratio,spearman,1.0,False,True,True
T2_global_ed_total_ratio,T1GD_global_ed_total_ratio,spearman,1.0,False,True,True
T2_parietal_nc_ratio,FLAIR_parietal_nc_ratio,pearson,1.0,False,True,True
T2_occipital_ed_ratio,FLAIR_occipital_ed_ratio,pearson,1.0,False,True,True
T2_occipital_en_ratio,T1GD_occipital_en_ratio,pearson,1.0,False,True,True
T2_occipital_nc_ratio,T1GD_occipital_nc_ratio,spearman,1.0,False,True,True
T1GD_global_ed_total_ratio,FLAIR_global_ed_total_ratio,spearman,1.0,False,True,True
T2_frontal_ed_ratio,FLAIR_frontal_ed_ratio,spearman,1.0,False,True,True
T2_tumor_burden_index,FLAIR_tumor_burden_index,spearman,1.0,False,True,True
T1GD_global_ed_en_ratio,FLAIR_global_ed_en_ratio,spearman,1.0,False,True,True
T2_global_ed_total_ratio,FLAIR_global_ed_total_ratio,spearman,1.0,False,True,True
T1GD_global_nc_en_ratio,FLAIR_global_nc_en_ratio,spearman,1.0,False,True,True
T2_global_ed_total_ratio,T1GD_global_ed_total_ratio,spearman,1.0,False,True,True
T2_occipital_nc_ratio,FLAIR_occipital_nc_ratio,spearman,1.0,False,True,True
