mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.13090038299560547,0.018373331030579386,0.03273859024047852,0.007140082805294883,0.01,scale,"{'svm__C': 0.01, 'svm__gamma': 'scale'}",0.5130718954248367,0.6844155844155845,0.5409090909090909,0.6162337662337661,0.6744652406417112,0.6058191155249978,0.06901234454347925,12
0.12663397789001465,0.018160442094732495,0.03463058471679688,0.010418605451770582,0.01,0.001,"{'svm__C': 0.01, 'svm__gamma': 0.001}",0.4980392156862745,0.6649350649350649,0.5551948051948051,0.6051948051948053,0.6717914438502675,0.5990310669722435,0.06602480281315394,16
0.12325334548950195,0.024631267102289293,0.02405714988708496,0.009185637820756907,0.01,0.01,"{'svm__C': 0.01, 'svm__gamma': 0.01}",0.5078431372549019,0.6844155844155845,0.5441558441558441,0.6123376623376624,0.6751336898395722,0.604777183600713,0.06988652206295931,13
0.12730808258056642,0.017996245560069405,0.028616046905517577,0.002317839768513141,0.01,0.1,"{'svm__C': 0.01, 'svm__gamma': 0.1}",0.6045751633986928,0.6961038961038961,0.5467532467532467,0.6084415584415584,0.6129679144385027,0.6137683558271793,0.047715188987745384,7
0.1443037509918213,0.01445766170085129,0.0309999942779541,0.004715850718202109,0.01,1,"{'svm__C': 0.01, 'svm__gamma': 1}",0.5745098039215686,0.5477272727272727,0.5035714285714286,0.6201298701298701,0.5561497326203209,0.5604176215940921,0.03788110800853984,19
0.1176119327545166,0.007904272929621543,0.030442094802856444,0.00399942848620011,0.1,scale,"{'svm__C': 0.1, 'svm__gamma': 'scale'}",0.5163398692810457,0.685064935064935,0.5435064935064935,0.6142857142857142,0.6711229946524064,0.6060640013581189,0.06708990738414974,11
0.11465749740600586,0.00930052827079564,0.02320384979248047,0.0048575011226795,0.1,0.001,"{'svm__C': 0.1, 'svm__gamma': 0.001}",0.4980392156862745,0.6649350649350649,0.5551948051948051,0.6051948051948053,0.6717914438502675,0.5990310669722435,0.06602480281315394,16
0.10428390502929688,0.012293714537030076,0.024814081192016602,0.005458006161606261,0.1,0.01,"{'svm__C': 0.1, 'svm__gamma': 0.01}",0.5071895424836601,0.6844155844155845,0.5435064935064935,0.6103896103896104,0.6751336898395722,0.6041269841269841,0.07014149065365508,14
0.11385149955749511,0.008693366330889645,0.022916507720947266,0.0032283556308410496,0.1,0.1,"{'svm__C': 0.1, 'svm__gamma': 0.1}",0.6045751633986928,0.6961038961038961,0.5448051948051947,0.6084415584415584,0.6129679144385027,0.6133787454375689,0.048265577906735795,8
0.14593329429626464,0.04746762827069243,0.04012985229492187,0.022013024263429163,0.1,1,"{'svm__C': 0.1, 'svm__gamma': 1}",0.5725490196078431,0.5477272727272727,0.5035714285714286,0.6201298701298701,0.5561497326203209,0.5600254647313471,0.03774308943307507,20
0.12871947288513183,0.022591499886065205,0.023456382751464843,0.0033060376018130802,1.0,scale,"{'svm__C': 1, 'svm__gamma': 'scale'}",0.5928104575163399,0.709090909090909,0.5720779220779221,0.6564935064935065,0.6631016042780749,0.6387148798913505,0.04982223904298575,2
0.1148036003112793,0.01183204558907458,0.025105857849121095,0.006615416777883781,1.0,0.001,"{'svm__C': 1, 'svm__gamma': 0.001}",0.5013071895424837,0.6727272727272727,0.5603896103896104,0.5915584415584415,0.6651069518716578,0.5982178932178932,0.06464179076644408,18
0.10752954483032226,0.0087628769298901,0.023619937896728515,0.0035192281318886637,1.0,0.01,"{'svm__C': 1, 'svm__gamma': 0.01}",0.5764705882352941,0.7227272727272728,0.5759740259740259,0.6428571428571428,0.6644385026737968,0.6364935064935066,0.055719008169070494,3
0.1107187271118164,0.015506060176531286,0.02041802406311035,0.004776143603301401,1.0,0.1,"{'svm__C': 1, 'svm__gamma': 0.1}",0.6398692810457517,0.6246753246753247,0.5409090909090909,0.6298701298701299,0.6122994652406417,0.6095246583481877,0.03544029536147681,9
0.12983336448669433,0.013366279989949026,0.0293792724609375,0.007872429008959774,1.0,1,"{'svm__C': 1, 'svm__gamma': 1}",0.5026143790849673,0.4795454545454545,0.487012987012987,0.6357142857142857,0.5808823529411764,0.5371538918597741,0.06107724597045556,23
0.11573910713195801,0.019378618360924336,0.02700943946838379,0.00693871261792723,10.0,scale,"{'svm__C': 10, 'svm__gamma': 'scale'}",0.5437908496732026,0.6636363636363636,0.5993506493506494,0.6246753246753247,0.6764705882352942,0.6215847551141669,0.04761636537951558,6
0.10412583351135254,0.012958988570323281,0.022739315032958986,0.006804464104965504,10.0,0.001,"{'svm__C': 10, 'svm__gamma': 0.001}",0.5666666666666667,0.7103896103896103,0.5850649350649351,0.6487012987012987,0.6637700534759359,0.6349185128596894,0.05265350296333774,4
0.1105949878692627,0.012134329894388713,0.02347874641418457,0.00948762352420775,10.0,0.01,"{'svm__C': 10, 'svm__gamma': 0.01}",0.5771241830065359,0.6857142857142856,0.5941558441558442,0.6162337662337662,0.6764705882352942,0.6299397334691452,0.043666334323656325,5
0.12746171951293944,0.02019443168500223,0.024943113327026367,0.004432759670475276,10.0,0.1,"{'svm__C': 10, 'svm__gamma': 0.1}",0.5712418300653594,0.5597402597402598,0.5279220779220779,0.5396103896103897,0.5688502673796791,0.5534729649435532,0.01694987790191824,21
0.10596461296081543,0.013416307185354642,0.0236114501953125,0.010316904932961574,10.0,1,"{'svm__C': 10, 'svm__gamma': 1}",0.4771241830065359,0.49707792207792206,0.4383116883116883,0.6012987012987012,0.5641711229946524,0.5155967235379,0.05916140689176574,24
0.14866037368774415,0.009297664624292903,0.019455862045288087,0.005359851908007083,100.0,scale,"{'svm__C': 100, 'svm__gamma': 'scale'}",0.5516339869281046,0.6194805194805195,0.6441558441558441,0.5467532467532468,0.681149732620321,0.6086346659876072,0.05237596583338461,10
0.11285610198974609,0.006364612291519186,0.021302509307861327,0.0039530177839338715,100.0,0.001,"{'svm__C': 100, 'svm__gamma': 0.001}",0.5816993464052288,0.7097402597402597,0.6071428571428571,0.6461038961038962,0.6697860962566845,0.6428944911297853,0.04522132363898407,1
0.16313786506652833,0.009907322584862193,0.020625782012939454,0.0032351939204164986,100.0,0.01,"{'svm__C': 100, 'svm__gamma': 0.01}",0.5575163398692811,0.6194805194805194,0.6155844155844156,0.5532467532467533,0.6677807486631017,0.6027217553688142,0.04282588524783415,15
0.1452098846435547,0.012188322383429248,0.021875810623168946,0.0047907316289239445,100.0,0.1,"{'svm__C': 100, 'svm__gamma': 0.1}",0.626797385620915,0.5142857142857143,0.47597402597402594,0.5538961038961039,0.5688502673796791,0.5479606994312877,0.05099590560935303,22
0.11129484176635743,0.010681007054950108,0.0215301513671875,0.002285657841387778,100.0,1,"{'svm__C': 100, 'svm__gamma': 1}",0.46405228758169936,0.5016233766233766,0.41103896103896104,0.637012987012987,0.5247326203208555,0.5076920465155759,0.07522946637184834,25
