repeat,fold,fold_index,train_size,test_size,roc_auc,accuracy,precision,recall,f1_score
1,1,1,394,99,0.6258305647840532,0.6161616161616161,0.5675675675675675,0.4883720930232558,0.525
2,2,2,394,99,0.5163223140495867,0.47474747474747475,0.4166666666666667,0.45454545454545453,0.43478260869565216
3,3,3,394,99,0.584710743801653,0.5757575757575758,0.525,0.4772727272727273,0.5
4,4,4,395,98,0.7974630021141649,0.7448979591836735,0.75,0.627906976744186,0.6835443037974683
5,5,5,395,98,0.6583509513742072,0.6326530612244898,0.5813953488372093,0.5813953488372093,0.5813953488372093
6,1,6,394,99,0.6424418604651163,0.6565656565656566,0.6153846153846154,0.5581395348837209,0.5853658536585366
7,2,7,394,99,0.6169421487603306,0.6060606060606061,0.5609756097560976,0.5227272727272727,0.5411764705882353
8,3,8,394,99,0.7049586776859504,0.6464646464646465,0.6363636363636364,0.4772727272727273,0.5454545454545454
9,4,9,395,98,0.5792811839323467,0.5714285714285714,0.5116279069767442,0.5116279069767442,0.5116279069767442
10,5,10,395,98,0.6044397463002114,0.5714285714285714,0.5121951219512195,0.4883720930232558,0.5
11,1,11,394,99,0.5880398671096345,0.5555555555555556,0.4883720930232558,0.4883720930232558,0.4883720930232558
12,2,12,394,99,0.6049586776859504,0.5555555555555556,0.5,0.5227272727272727,0.5111111111111111
13,3,13,394,99,0.7,0.6666666666666666,0.6222222222222222,0.6363636363636364,0.6292134831460674
14,4,14,395,98,0.6194503171247357,0.5918367346938775,0.5384615384615384,0.4883720930232558,0.5121951219512195
15,5,15,395,98,0.6482029598308667,0.6122448979591837,0.5581395348837209,0.5581395348837209,0.5581395348837209
16,1,16,394,99,0.6468023255813954,0.6464646464646465,0.625,0.46511627906976744,0.5333333333333333
17,2,17,394,99,0.6012396694214877,0.5858585858585859,0.5405405405405406,0.45454545454545453,0.49382716049382713
18,3,18,394,99,0.634297520661157,0.5959595959595959,0.5454545454545454,0.5454545454545454,0.5454545454545454
19,4,19,395,98,0.5826638477801268,0.5510204081632653,0.4878048780487805,0.46511627906976744,0.47619047619047616
20,5,20,395,98,0.6845665961945032,0.6530612244897959,0.5918367346938775,0.6744186046511628,0.6304347826086957
21,1,21,394,99,0.5639534883720929,0.5555555555555556,0.48717948717948717,0.4418604651162791,0.4634146341463415
22,2,22,394,99,0.6380165289256199,0.5656565656565656,0.5116279069767442,0.5,0.5057471264367817
23,3,23,394,99,0.6280991735537189,0.5959595959595959,0.55,0.5,0.5238095238095238
24,4,24,395,98,0.6319238900634249,0.6122448979591837,0.5675675675675675,0.4883720930232558,0.525
25,5,25,395,98,0.6416490486257928,0.5816326530612245,0.525,0.4883720930232558,0.5060240963855421
26,1,26,394,99,0.571843853820598,0.5555555555555556,0.48936170212765956,0.5348837209302325,0.5111111111111111
27,2,27,394,99,0.5789256198347108,0.5555555555555556,0.5,0.5227272727272727,0.5111111111111111
28,3,28,394,99,0.7241735537190083,0.6868686868686869,0.6382978723404256,0.6818181818181818,0.6593406593406593
29,4,29,395,98,0.642706131078224,0.6428571428571429,0.6176470588235294,0.4883720930232558,0.5454545454545454
30,5,30,395,98,0.5896405919661734,0.6020408163265306,0.5625,0.4186046511627907,0.48
31,1,31,394,99,0.6665282392026578,0.6060606060606061,0.55,0.5116279069767442,0.5301204819277109
32,2,32,394,99,0.5871900826446282,0.6060606060606061,0.5714285714285714,0.45454545454545453,0.5063291139240507
33,3,33,394,99,0.6099173553719008,0.5959595959595959,0.5526315789473685,0.4772727272727273,0.5121951219512195
34,4,34,395,98,0.5714587737843552,0.5714285714285714,0.5106382978723404,0.5581395348837209,0.5333333333333333
35,5,35,395,98,0.7501057082452431,0.6530612244897959,0.6046511627906976,0.6046511627906976,0.6046511627906976
36,1,36,394,99,0.6785714285714286,0.6767676767676768,0.627906976744186,0.627906976744186,0.627906976744186
37,2,37,394,99,0.6012396694214877,0.5252525252525253,0.46938775510204084,0.5227272727272727,0.4946236559139785
38,3,38,394,99,0.643801652892562,0.5959595959595959,0.5625,0.4090909090909091,0.47368421052631576
39,4,39,395,98,0.6799154334038054,0.673469387755102,0.6410256410256411,0.5813953488372093,0.6097560975609756
40,5,40,395,98,0.5966173361522199,0.5816326530612245,0.5263157894736842,0.46511627906976744,0.49382716049382713
41,1,41,394,99,0.6814784053156147,0.6262626262626263,0.5681818181818182,0.5813953488372093,0.5747126436781609
42,2,42,394,99,0.5574380165289256,0.5555555555555556,0.5,0.4318181818181818,0.4634146341463415
43,3,43,394,99,0.6487603305785125,0.6161616161616161,0.5681818181818182,0.5681818181818182,0.5681818181818182
44,4,44,395,98,0.5224101479915433,0.5408163265306123,0.47368421052631576,0.4186046511627907,0.4444444444444444
45,5,45,395,98,0.6279069767441859,0.6224489795918368,0.5833333333333334,0.4883720930232558,0.5316455696202531
46,1,46,394,99,0.6212624584717609,0.5858585858585859,0.525,0.4883720930232558,0.5060240963855421
47,2,47,394,99,0.5842975206611571,0.5757575757575758,0.5384615384615384,0.3181818181818182,0.4
48,3,48,394,99,0.7268595041322314,0.696969696969697,0.6590909090909091,0.6590909090909091,0.6590909090909091
49,4,49,395,98,0.613107822410148,0.5612244897959183,0.5,0.4883720930232558,0.49411764705882355
50,5,50,395,98,0.6350951374207188,0.5816326530612245,0.5227272727272727,0.5348837209302325,0.5287356321839081
