feature_name,importance_mean,importance_std,modality,lobe,subregion
T1GD_temporal_en_ratio,0.02186157305371894,0.007162241050271261,T1GD,temporal,en
T1_temporal_nc_ratio,0.013335114316881535,0.00789814820777623,T1,temporal,nc
T1_frontal_ed_ratio,0.012631625815356533,0.0029680355999419177,T1,frontal,ed
FLAIR_temporal_en_ratio,0.011637057815178467,0.0050105140412432265,FLAIR,temporal,en
T2_temporal_en_ratio,0.011637057815178467,0.0050105140412432265,T2,temporal,en
T1_parietal_en_ratio,0.009810436563592278,0.004400251064458354,T1,parietal,en
T1_temporal_ed_ratio,0.007977693181059271,0.005423586324784953,T1,temporal,ed
T1_tumor_burden_index,0.007258621073487833,0.00579079079181806,T1,global,tumor_burden
T1GD_parietal_en_ratio,0.006937487477459458,0.004679640876681402,T1GD,parietal,en
T1GD_parietal_nc_ratio,0.0055455375230971694,0.004912222794919523,T1GD,parietal,nc
T1_parietal_nc_ratio,0.005390258019991593,0.0027056316322057413,T1,parietal,nc
T1GD_frontal_en_ratio,0.005186558026670267,0.006914409537710098,T1GD,frontal,en
FLAIR_occipital_en_ratio,0.0048965916427347374,0.0016629907803980518,FLAIR,occipital,en
T1GD_occipital_en_ratio,0.0048965916427347374,0.0016629907803980518,T1GD,occipital,en
T2_occipital_en_ratio,0.0048965916427347374,0.0016629907803980518,T2,occipital,en
T1GD_frontal_ed_ratio,0.004878781807253078,0.0009671077362499508,T1GD,frontal,ed
FLAIR_frontal_ed_ratio,0.004621652307486834,0.0009379575155876812,FLAIR,frontal,ed
T2_frontal_ed_ratio,0.004621652307486834,0.0009379575155876812,T2,frontal,ed
T2_frontal_en_ratio,0.004486965426656894,0.006605568158447112,T2,frontal,en
FLAIR_frontal_en_ratio,0.004486965426656894,0.006605568158447112,FLAIR,frontal,en
T2_temporal_ed_ratio,0.004347826086956563,0.0026157660615793213,T2,temporal,ed
FLAIR_temporal_ed_ratio,0.004347826086956563,0.0026157660615793213,FLAIR,temporal,ed
T1_occipital_en_ratio,0.004144126093635244,0.003172776469608844,T1,occipital,en
T1_temporal_en_ratio,0.003669939223936436,0.0015932696515242302,T1,temporal,en
T1_occipital_ed_ratio,0.003308733498074349,0.0022488075261298934,T1,occipital,ed
T1_parietal_ed_ratio,0.0032959326788219003,0.0016835097464898028,T1,parietal,ed
T1GD_occipital_ed_ratio,0.0032246933368953235,0.0015694605685092097,T1GD,occipital,ed
FLAIR_parietal_en_ratio,0.0031963089115964573,0.0013317919871502649,FLAIR,parietal,en
T2_parietal_en_ratio,0.0031963089115964573,0.0013317919871502649,T2,parietal,en
FLAIR_temporal_nc_ratio,0.0031963089115964534,0.0042875511890555044,FLAIR,temporal,nc
T2_temporal_nc_ratio,0.0031963089115964534,0.0042875511890555044,T2,temporal,nc
T1GD_temporal_ed_ratio,0.0030560564571784836,0.0014184188315951253,T1GD,temporal,ed
FLAIR_occipital_ed_ratio,0.0029046728555844853,0.0019484650264273704,FLAIR,occipital,ed
T2_occipital_ed_ratio,0.0029046728555844853,0.0019484650264273704,T2,occipital,ed
T1GD_parietal_ed_ratio,0.002843451546116397,0.002710717115462757,T1GD,parietal,ed
T1_frontal_en_ratio,0.0028306507268639333,0.005525542941953417,T1,frontal,en
T1_frontal_nc_ratio,0.0025423540150048035,0.0011433774372107222,T1,frontal,nc
T2_parietal_ed_ratio,0.0023147220552550327,0.0015819381983541091,T2,parietal,ed
FLAIR_parietal_ed_ratio,0.0023147220552550327,0.0015819381983541091,FLAIR,parietal,ed
T1GD_temporal_nc_ratio,0.0014754335581825446,0.003077900525256486,T1GD,temporal,nc
T1_occipital_nc_ratio,0.001443709788730881,0.001753869695092549,T1,occipital,nc
FLAIR_frontal_nc_ratio,0.0014153253634319961,0.0007485729579589128,FLAIR,frontal,nc
T2_frontal_nc_ratio,0.0014153253634319961,0.0007485729579589128,T2,frontal,nc
FLAIR_tumor_burden_index,0.0014014114294619887,0.0022010598815177277,FLAIR,global,tumor_burden
T2_tumor_burden_index,0.0014014114294619887,0.0022010598815177277,T2,global,tumor_burden
T1GD_frontal_nc_ratio,0.0013646786437810884,0.0007784556456994483,T1GD,frontal,nc
T1GD_occipital_nc_ratio,0.0013596696275518737,0.002194416174361492,T1GD,occipital,nc
FLAIR_occipital_nc_ratio,0.0013596696275518737,0.002194416174361492,FLAIR,occipital,nc
T2_occipital_nc_ratio,0.0013596696275518737,0.002194416174361492,T2,occipital,nc
T1GD_tumor_burden_index,0.0013463122509406252,0.0021495171091268565,T1GD,global,tumor_burden
FLAIR_parietal_nc_ratio,0.0007112803045482082,0.0016595487762376784,FLAIR,parietal,nc
T2_parietal_nc_ratio,0.0007112803045482082,0.0016595487762376784,T2,parietal,nc
T2_global_ed_en_ratio,0.0005192680157617128,0.0006133759541148818,T2,global,ed_en
FLAIR_global_ed_en_ratio,0.0005192680157617128,0.0006133759541148818,FLAIR,global,ed_en
T1GD_global_ed_en_ratio,0.0005192680157617128,0.0006133759541148818,T1GD,global,ed_en
T1_global_ed_en_ratio,0.0005192680157617128,0.0006133759541148818,T1,global,ed_en
FLAIR_global_ed_total_ratio,0.0004741868696988338,0.0009176879851612955,FLAIR,global,ed_total
T2_global_ed_total_ratio,0.0004741868696988338,0.0009176879851612955,T2,global,ed_total
T1GD_global_ed_total_ratio,0.0004741868696988338,0.0009176879851612955,T1GD,global,ed_total
T1_global_ed_total_ratio,0.0004741868696988338,0.0009176879851612955,T1,global,ed_total
T1_global_nc_en_ratio,0.00031167212092882607,0.0017394924016268418,T1,global,nc_en
FLAIR_global_nc_en_ratio,0.00031167212092882607,0.0017394924016268418,FLAIR,global,nc_en
T2_global_nc_en_ratio,0.00031167212092882607,0.0017394924016268418,T2,global,nc_en
T1GD_global_nc_en_ratio,0.00031167212092882607,0.0017394924016268418,T1GD,global,nc_en
