feature_name,mean_abs_shap,modality,lobe,subregion
T1GD_temporal_en_ratio,0.010940657789882893,T1GD,temporal,en
T1_tumor_burden_index,0.00928087835009102,T1,global,tumor_burden
T1_temporal_nc_ratio,0.008897320128242923,T1,temporal,nc
T1GD_frontal_en_ratio,0.008357445817490004,T1GD,frontal,en
FLAIR_frontal_en_ratio,0.007299378171856951,FLAIR,frontal,en
T2_frontal_en_ratio,0.006994190388182268,T2,frontal,en
T2_temporal_en_ratio,0.006005116783913816,T2,temporal,en
FLAIR_temporal_en_ratio,0.0059746278770830144,FLAIR,temporal,en
T1_frontal_en_ratio,0.0048885851014679,T1,frontal,en
T1GD_parietal_nc_ratio,0.004259787247317613,T1GD,parietal,nc
T1_parietal_en_ratio,0.004194886292439138,T1,parietal,en
T1_temporal_ed_ratio,0.003871045592126399,T1,temporal,ed
T1_frontal_ed_ratio,0.0033982595483213886,T1,frontal,ed
T1GD_parietal_en_ratio,0.0031267282345760305,T1GD,parietal,en
FLAIR_temporal_nc_ratio,0.0027811356790229734,FLAIR,temporal,nc
T2_temporal_nc_ratio,0.0023175513560686443,T2,temporal,nc
T1_parietal_nc_ratio,0.0018463653732579027,T1,parietal,nc
FLAIR_temporal_ed_ratio,0.0012620249147141701,FLAIR,temporal,ed
T1GD_temporal_nc_ratio,0.0012370043346614065,T1GD,temporal,nc
T2_tumor_burden_index,0.0010664688638017034,T2,global,tumor_burden
FLAIR_tumor_burden_index,0.0010658639713610422,FLAIR,global,tumor_burden
T2_temporal_ed_ratio,0.001021376796866955,T2,temporal,ed
T1GD_tumor_burden_index,0.0009621838770483726,T1GD,global,tumor_burden
T1GD_parietal_ed_ratio,0.0009073872422723948,T1GD,parietal,ed
FLAIR_parietal_nc_ratio,0.0007655612077615925,FLAIR,parietal,nc
T2_parietal_en_ratio,0.000735977787031164,T2,parietal,en
T2_parietal_nc_ratio,0.0007327767290610061,T2,parietal,nc
T1_parietal_ed_ratio,0.0006821019926004135,T1,parietal,ed
T1_occipital_en_ratio,0.0006166100477095742,T1,occipital,en
T1GD_occipital_nc_ratio,0.0006067532746862611,T1GD,occipital,nc
FLAIR_frontal_ed_ratio,0.0005617444242801761,FLAIR,frontal,ed
T1GD_frontal_ed_ratio,0.0005194883306221922,T1GD,frontal,ed
T2_occipital_en_ratio,0.0005067538091422836,T2,occipital,en
T1GD_temporal_ed_ratio,0.00044476427883558586,T1GD,temporal,ed
FLAIR_occipital_en_ratio,0.0004431704249435307,FLAIR,occipital,en
T1GD_global_ed_total_ratio,0.00043639983109134263,T1GD,global,ed_total
FLAIR_occipital_nc_ratio,0.00043190994673725425,FLAIR,occipital,nc
T1_frontal_nc_ratio,0.0003484819424427106,T1,frontal,nc
T2_parietal_ed_ratio,0.00034257652729145034,T2,parietal,ed
T2_occipital_nc_ratio,0.0003389321387375944,T2,occipital,nc
T1_occipital_nc_ratio,0.0003344897583205498,T1,occipital,nc
FLAIR_parietal_en_ratio,0.00031960138093587435,FLAIR,parietal,en
T1_global_ed_total_ratio,0.0002694805675946693,T1,global,ed_total
T2_frontal_ed_ratio,0.000262643030417981,T2,frontal,ed
T1_temporal_en_ratio,0.00023558521800813137,T1,temporal,en
T2_global_ed_total_ratio,0.00022896600902128886,T2,global,ed_total
FLAIR_global_ed_total_ratio,0.0002219993126364702,FLAIR,global,ed_total
T1_occipital_ed_ratio,0.00021501900496849593,T1,occipital,ed
T1GD_global_nc_en_ratio,0.00020375616083029364,T1GD,global,nc_en
T2_occipital_ed_ratio,0.00019899477447330789,T2,occipital,ed
FLAIR_occipital_ed_ratio,0.00019512988488774651,FLAIR,occipital,ed
T1GD_occipital_en_ratio,0.0001915258496810032,T1GD,occipital,en
T1_global_ed_en_ratio,0.00019028465313679368,T1,global,ed_en
FLAIR_global_ed_en_ratio,0.00017806235763134486,FLAIR,global,ed_en
FLAIR_frontal_nc_ratio,0.00016573345206579798,FLAIR,frontal,nc
T2_global_ed_en_ratio,0.00015238588071885171,T2,global,ed_en
T2_frontal_nc_ratio,0.00015050692328047718,T2,frontal,nc
T1GD_occipital_ed_ratio,0.00014830084102296682,T1GD,occipital,ed
T1GD_frontal_nc_ratio,0.00014176348184894168,T1GD,frontal,nc
FLAIR_parietal_ed_ratio,0.00012686729580688267,FLAIR,parietal,ed
FLAIR_global_nc_en_ratio,0.00010838711121811335,FLAIR,global,nc_en
T1_global_nc_en_ratio,9.031133337738891e-05,T1,global,nc_en
T1GD_global_ed_en_ratio,8.912539160686294e-05,T1GD,global,ed_en
T2_global_nc_en_ratio,5.5087960170417915e-05,T2,global,nc_en
