feature_name,modality,lobe,subregion,mean_abs_shap,std_abs_shap,cv_abs_shap,median_rank,rank_iqr,freq_top5_pct,freq_top10_pct
T1GD_temporal_en_ratio,T1GD,temporal,en,0.01116278196004012,0.002349486148061766,0.2104749655123893,1.0,1.0,94.0,100.0
T1_temporal_nc_ratio,T1,temporal,nc,0.00938966298037503,0.0023967055871964315,0.25524937286947286,2.0,2.25,79.0,99.0
T1_tumor_burden_index,T1,global,tumor_burden,0.00864936723736919,0.001224549141532822,0.14157673132922535,3.0,3.0,85.0,100.0
T1GD_frontal_en_ratio,T1GD,frontal,en,0.008179239280132604,0.001342383888099843,0.16412087262937733,3.0,3.0,88.0,100.0
T2_frontal_en_ratio,T2,frontal,en,0.007296283223428385,0.0013417756740438205,0.18389851832168125,5.0,3.0,54.0,100.0
FLAIR_frontal_en_ratio,FLAIR,frontal,en,0.007232631792854255,0.0012327770550329856,0.17044653873448293,6.0,3.0,47.0,99.0
FLAIR_temporal_en_ratio,FLAIR,temporal,en,0.005892881219190186,0.0014212308560491826,0.24117758413676146,8.0,4.0,19.0,89.0
T2_temporal_en_ratio,T2,temporal,en,0.005888565588350492,0.0013168723666826458,0.22363211327523463,8.0,3.0,16.0,90.0
T1_frontal_en_ratio,T1,frontal,en,0.0047622143402112705,0.0010157763131980538,0.21329915888518994,10.0,2.0,2.0,61.0
T1_frontal_ed_ratio,T1,frontal,ed,0.004207703096059232,0.0013067801165980678,0.3105685184446465,11.0,3.25,3.0,42.0
T1GD_parietal_nc_ratio,T1GD,parietal,nc,0.004118623485742031,0.00199037652010852,0.4832625577450482,12.0,5.25,10.0,34.0
T1_temporal_ed_ratio,T1,temporal,ed,0.004071705889914487,0.0010333939603059837,0.25379877335091283,11.0,3.0,0.0,41.0
T1_parietal_en_ratio,T1,parietal,en,0.003961802418787263,0.0014651143790853974,0.3698100571945937,12.0,3.25,2.0,32.0
T1GD_parietal_en_ratio,T1GD,parietal,en,0.0031599794780575487,0.001046586519622883,0.33120041661353566,13.5,3.0,1.0,8.0
FLAIR_temporal_nc_ratio,FLAIR,temporal,nc,0.002586555103237149,0.0009494875465010341,0.3670857602502738,15.0,4.0,0.0,4.0
T2_temporal_nc_ratio,T2,temporal,nc,0.002493525401287433,0.0009165871122980018,0.3675868358207855,15.5,3.0,0.0,1.0
T1_parietal_nc_ratio,T1,parietal,nc,0.0016766062004080528,0.0007640696349223001,0.4557239706833606,19.0,5.25,0.0,0.0
T2_temporal_ed_ratio,T2,temporal,ed,0.0015491386611494102,0.0006276534524012171,0.4051628612351065,18.0,5.25,0.0,0.0
FLAIR_temporal_ed_ratio,FLAIR,temporal,ed,0.0015263615302531597,0.0005979059042237324,0.3917197153970231,19.0,5.0,0.0,0.0
T1_parietal_ed_ratio,T1,parietal,ed,0.0010502407959704872,0.0006000564741727198,0.5713513286429048,24.0,12.25,0.0,0.0
T1GD_temporal_nc_ratio,T1GD,temporal,nc,0.00102304657385176,0.00037489964990872004,0.36645413756406675,23.0,8.0,0.0,0.0
