threshold,treat_none,treat_all,Spatial Only,Clinical Only,Combined
0.01,0.0,0.438833,0.438833,0.438833,0.438833
0.02,0.0,0.433107,0.433107,0.433107,0.433107
0.03,0.0,0.427262,0.427262,0.427262,0.427262
0.04,0.0,0.421296,0.421296,0.421296,0.421296
0.05,0.0,0.415205,0.415205,0.415205,0.415205
0.06,0.0,0.408983,0.408983,0.408983,0.408983
0.07,0.0,0.402628,0.402628,0.402628,0.402628
0.08,0.0,0.396135,0.396135,0.396135,0.396135
0.09,0.0,0.389499,0.389499,0.389499,0.389499
0.1,0.0,0.382716,0.382716,0.382716,0.382716
0.11,0.0,0.37578,0.37578,0.37578,0.37578
0.12,0.0,0.368687,0.368687,0.368687,0.368687
0.13,0.0,0.36143,0.36143,0.36143,0.36294
0.14,0.0,0.354005,0.354005,0.354005,0.357294
0.15,0.0,0.346405,0.346405,0.346405,0.34997
0.16,0.0,0.338624,0.338624,0.338624,0.34632
0.17,0.0,0.330656,0.330656,0.330656,0.330899
0.18,0.0,0.322493,0.322493,0.322493,0.323479
0.19,0.0,0.314129,0.314129,0.314129,0.315875
0.2,0.0,0.305556,0.305556,0.305556,0.313131
0.21,0.0,0.296765,0.296765,0.296765,0.30546
0.22,0.0,0.287749,0.287749,0.287749,0.297591
0.23,0.0,0.278499,0.278499,0.278499,0.289519
0.24,0.0,0.269006,0.269006,0.269006,0.287613
0.25,0.0,0.259259,0.259259,0.259259,0.272727
0.26,0.0,0.249249,0.252798,0.249249,0.265083
0.27,0.0,0.238965,0.242701,0.246437,0.2445
0.28,0.0,0.228395,0.222222,0.237935,0.236813
0.29,0.0,0.217527,0.211552,0.228055,0.233035
0.3,0.0,0.206349,0.200577,0.217893,0.233766
0.31,0.0,0.194847,0.189284,0.207437,0.230567
0.32,0.0,0.183007,0.182412,0.210933,0.22757
0.33,0.0,0.170813,0.175637,0.205488,0.21981
0.34,0.0,0.158249,0.163759,0.200184,0.206918
0.35,0.0,0.145299,0.151515,0.195804,0.19425
0.36,0.0,0.131944,0.121212,0.191288,0.203283
0.37,0.0,0.118166,0.138849,0.176848,0.195767
0.38,0.0,0.103943,0.140762,0.166504,0.200391
0.39,0.0,0.089253,0.144064,0.145719,0.175526
0.4,0.0,0.074074,0.175084,0.141414,0.171717
0.41,0.0,0.05838,0.143811,0.120185,0.154768
0.42,0.0,0.042146,0.127482,0.123302,0.152212
0.43,0.0,0.025341,0.110225,0.134857,0.15311
0.44,0.0,0.007937,0.127706,0.121934,0.146465
0.45,0.0,-0.010101,0.091827,0.142332,0.109275
0.46,0.0,-0.028807,0.084549,0.138421,0.071829
0.47,0.0,-0.048218,0.085573,0.154183,0.072232
0.48,0.0,-0.068376,0.060606,0.190365,0.083916
0.49,0.0,-0.089325,0.065359,0.144583,0.08675
0.5,0.0,-0.111111,0.030303,0.121212,0.090909
0.51,0.0,-0.133787,0.026592,0.130076,0.075861
0.52,0.0,-0.157407,0.003367,0.079966,0.070707
0.53,0.0,-0.182033,-0.009026,0.059317,0.088115
0.54,0.0,-0.207729,-0.020641,0.048748,0.086957
0.55,0.0,-0.234568,-0.043771,0.050505,0.095398
0.56,0.0,-0.262626,-0.044077,0.050505,0.094582
0.57,0.0,-0.29199,-0.006577,0.010101,0.108057
0.58,0.0,-0.322751,-0.007696,0.0,0.095719
0.59,0.0,-0.355014,-0.01897,0.0,0.093373
0.6,0.0,-0.388889,-0.005051,0.0,0.070707
0.61,0.0,-0.424501,0.010101,0.0,0.047915
0.62,0.0,-0.461988,0.010101,0.0,0.035088
0.63,0.0,-0.501502,0.010101,0.0,0.039312
0.64,0.0,-0.54321,0.010101,0.0,0.016835
0.65,0.0,-0.587302,0.010101,0.0,0.033189
0.66,0.0,-0.633987,0.010101,0.0,0.031491
0.67,0.0,-0.683502,0.010101,0.0,0.01959
0.68,0.0,-0.736111,0.010101,0.0,-0.012626
0.69,0.0,-0.792115,0.0,0.0,-0.002281
0.7,0.0,-0.851852,0.0,0.0,-0.003367
0.71,0.0,-0.915709,0.0,0.0,0.020202
0.72,0.0,-0.984127,0.0,0.0,0.020202
0.73,0.0,-1.057613,0.0,0.0,0.020202
0.74,0.0,-1.136752,0.0,0.0,0.010101
0.75,0.0,-1.222222,0.0,0.0,0.010101
0.76,0.0,-1.314815,0.0,0.0,0.010101
0.77,0.0,-1.415459,0.0,0.0,0.010101
0.78,0.0,-1.525253,0.0,0.0,0.010101
0.79,0.0,-1.645503,0.0,0.0,0.010101
0.8,0.0,-1.777778,0.0,0.0,0.010101
0.81,0.0,-1.923977,0.0,0.0,0.0
0.82,0.0,-2.08642,0.0,0.0,0.0
0.83,0.0,-2.267974,0.0,0.0,0.0
0.84,0.0,-2.472222,0.0,0.0,0.0
0.85,0.0,-2.703704,0.0,0.0,0.0
0.86,0.0,-2.968254,0.0,0.0,0.0
0.87,0.0,-3.273504,0.0,0.0,0.0
0.88,0.0,-3.62963,0.0,0.0,0.0
0.89,0.0,-4.050505,0.0,0.0,0.0
0.9,0.0,-4.555556,0.0,0.0,0.0
0.91,0.0,-5.17284,0.0,0.0,0.0
0.92,0.0,-5.944444,0.0,0.0,0.0
0.93,0.0,-6.936508,0.0,0.0,0.0
0.94,0.0,-8.259259,0.0,0.0,0.0
0.95,0.0,-10.111111,0.0,0.0,0.0
0.96,0.0,-12.888889,0.0,0.0,0.0
0.97,0.0,-17.518519,0.0,0.0,0.0
0.98,0.0,-26.777778,0.0,0.0,0.0
0.99,0.0,-54.555556,0.0,0.0,0.0
