threshold,treat_none,treat_all_mean,treat_all_ci_lower,treat_all_ci_upper,Spatial Only_mean,Spatial Only_ci_lower,Spatial Only_ci_upper,Clinical Only_mean,Clinical Only_ci_lower,Clinical Only_ci_upper,Combined_mean,Combined_ci_lower,Combined_ci_upper
0.01,0.0,0.439057,0.336802,0.540863,0.439057,0.336802,0.540863,0.439057,0.336802,0.540863,0.439057,0.336802,0.540863
0.02,0.0,0.433333,0.330035,0.536178,0.433333,0.330035,0.536178,0.433333,0.330035,0.536178,0.433333,0.330035,0.536178
0.03,0.0,0.427491,0.323128,0.531396,0.427491,0.323128,0.531396,0.427491,0.323128,0.531396,0.427491,0.323128,0.531396
0.04,0.0,0.421528,0.316077,0.526515,0.421528,0.316077,0.526515,0.421528,0.316077,0.526515,0.421528,0.316077,0.526515
0.05,0.0,0.415439,0.308878,0.521531,0.415439,0.308878,0.521531,0.415439,0.308878,0.521531,0.415439,0.308878,0.521531
0.06,0.0,0.40922,0.301526,0.516441,0.40922,0.301526,0.516441,0.40922,0.301526,0.516441,0.40922,0.301526,0.516441
0.07,0.0,0.402867,0.294015,0.511241,0.402867,0.294015,0.511241,0.402867,0.294015,0.511241,0.402867,0.294015,0.511241
0.08,0.0,0.396377,0.286342,0.505929,0.396377,0.286342,0.505929,0.396377,0.286342,0.505929,0.396377,0.286342,0.505929
0.09,0.0,0.389744,0.278499,0.5005,0.389744,0.278499,0.5005,0.389744,0.278499,0.5005,0.389744,0.278499,0.5005
0.1,0.0,0.382963,0.270483,0.494949,0.382963,0.270483,0.494949,0.382963,0.270483,0.494949,0.382963,0.270483,0.494949
0.11,0.0,0.37603,0.262286,0.489275,0.37603,0.262286,0.489275,0.37603,0.262286,0.489275,0.37603,0.262286,0.489275
0.12,0.0,0.368939,0.253903,0.483471,0.368939,0.253903,0.483471,0.368939,0.253903,0.483471,0.368939,0.253903,0.483471
0.13,0.0,0.361686,0.245327,0.477534,0.361686,0.245327,0.477534,0.361686,0.245327,0.477534,0.363224,0.248346,0.479043
