modality_1,modality_2,metric,pearson_r,pearson_p,spearman_r,spearman_p
T1,T2,cohens_d,0.9995841953999287,9.781287346998531e-17,0.9930069930069931,1.3016730560634403e-10
T1,T1GD,cohens_d,0.99930713637138,1.25599469373052e-15,0.9930069930069931,1.3016730560634403e-10
T1,FLAIR,cohens_d,0.9995841953999287,9.781287346998531e-17,0.9930069930069931,1.3016730560634403e-10
T2,T1GD,cohens_d,0.9999277657169743,1.548513904000026e-20,1.0,0.0
T2,FLAIR,cohens_d,0.9999999999999997,1.3601965474273738e-76,1.0,0.0
T1GD,FLAIR,cohens_d,0.9999277657169743,1.548513904000026e-20,1.0,0.0
T1,T2,odds_ratio,0.9885098161299651,1.5472138125691106e-09,0.9720279720279721,1.2868115751495013e-07
T1,T1GD,odds_ratio,0.9884477050874547,1.5893210011274293e-09,0.9860139860139862,4.1168959116543284e-09
T1,FLAIR,odds_ratio,0.9885098161299651,1.5472138125691106e-09,0.9720279720279721,1.2868115751495013e-07
T2,T1GD,odds_ratio,0.9997065715744322,1.7121786480756954e-17,0.9930069930069931,1.3016730560634403e-10
T2,FLAIR,odds_ratio,1.0,0.0,1.0,0.0
T1GD,FLAIR,odds_ratio,0.9997065715744322,1.7121786480756954e-17,0.9930069930069931,1.3016730560634403e-10
T1,T2,prevalence,0.9997593795523488,6.349492867811348e-18,0.9930069930069931,1.3016730560634403e-10
T1,T1GD,prevalence,0.9997511469552436,7.512512747787623e-18,0.9930069930069931,1.3016730560634403e-10
T1,FLAIR,prevalence,0.9997593795523488,6.349492867811348e-18,0.9930069930069931,1.3016730560634403e-10
T2,T1GD,prevalence,0.9999936875511417,7.892877389577895e-26,1.0,0.0
T2,FLAIR,prevalence,0.9999999999999999,0.0,1.0,0.0
T1GD,FLAIR,prevalence,0.9999936875511417,7.892877389577895e-26,1.0,0.0
