feature,mean_cohens_d,modalities_risk,modalities_protective,modalities_ns,mean_prevalence,mean_odds_ratio
frontal_ed_ratio,0.0857047698472896,4,0,0,69.82931726907631,1.9951415693245302
frontal_en_ratio,0.409243545397979,4,0,0,33.9859437751004,2.2838982735318316
frontal_nc_ratio,0.18355124925455363,4,0,0,18.373493975903614,1.8307604596859761
temporal_ed_ratio,-0.012425703366677775,0,0,4,62.3995983935743,1.3691628281494597
temporal_en_ratio,0.25540811752604575,4,0,0,34.18674698795181,1.55547345523663
temporal_nc_ratio,0.08482714217283732,4,0,0,21.586345381526105,1.3294765840220386
parietal_ed_ratio,0.04984220213454735,0,0,4,49.14658634538153,1.0540106951871657
parietal_en_ratio,0.11704951385994013,0,0,4,24.14658634538153,1.2133152173913042
parietal_nc_ratio,0.09094356489154795,0,0,4,13.052208835341366,1.4842215988779803
occipital_ed_ratio,0.02839255923606555,0,0,4,26.455823293172692,1.0138189559422437
occipital_en_ratio,0.0071425903467204005,3,0,1,11.295180722891565,1.5144279479385863
occipital_nc_ratio,0.00165605608002465,0,0,4,7.128514056224899,1.2323791132059005
