feature,outcome,n_total,n_group0,n_group1,median_group0,median_group1,test_statistic,p_value,p_value_fdr,effect_size_cliffs_delta,auc,auc_ci_lower,auc_ci_upper,significant_fdr_0.05,test
T1_global_nc_en_ratio,IDH_binary,494,392.0,102.0,0.38066264748885786,0.0,33480.0,5.378880191119475e-26,1.3769933289265855e-24,-0.6746698679471789,0.16187003551420567,0.11224177170868349,0.21757484243697475,True,Mann-Whitney U
T1_global_nc_en_ratio,MGMT_binary,413,113.0,300.0,0.417103162376404,0.3313241251877221,18968.5,0.061922784624394656,0.12993633494954945,-0.11908554572271386,0.44211325958702063,0.3781268436578171,0.507143436578171,False,Mann-Whitney U
T1_global_ed_en_ratio,IDH_binary,494,392.0,102.0,2.5348741835997046,0.0,24382.0,0.0006188688734358951,0.001494626713203671,-0.2195878351340536,0.3897989695878351,0.3092877776110444,0.4750212585034014,True,Mann-Whitney U
T1_global_ed_en_ratio,MGMT_binary,413,113.0,300.0,2.70422226551086,2.7464284985410563,17179.0,0.8326509829096076,0.9765913705357477,-0.013510324483775812,0.4948686725663717,0.434813053097345,0.5603012536873156,False,Mann-Whitney U
T1_global_ed_total_ratio,IDH_binary,494,392.0,102.0,0.6641195550188057,1.0,4900.0,5.766798336007869e-32,1.845375467522518e-30,0.7549019607843137,0.8773892932172869,0.8343005952380951,0.9205776060424171,True,Mann-Whitney U
T1_global_ed_total_ratio,MGMT_binary,413,113.0,300.0,0.6732387593171435,0.6759033914539005,17036.0,0.936980788019094,0.9848756597860501,-0.005073746312684366,0.4967246017699115,0.43510471976401177,0.5595508849557522,False,Mann-Whitney U
T1_tumor_burden_index,IDH_binary,494,392.0,102.0,0.0564805459584837,0.04328065558813195,22624.0,0.04045919923266703,0.09085574564528737,-0.13165266106442577,0.4350140056022409,0.3710365396158464,0.5027017056822729,False,Mann-Whitney U
T1_tumor_burden_index,MGMT_binary,413,113.0,300.0,0.0602026645836045,0.057862742535198644,17328.0,0.727039755097135,0.9483085761798897,-0.022300884955752213,0.4896874041297935,0.4282492625368731,0.5564129793510324,False,Mann-Whitney U
T1_frontal_ed_ratio,IDH_binary,494,392.0,102.0,0.02366181573637445,0.04171497991316045,15496.5,0.0004648164601756381,0.0012142144265812587,0.22486494597839135,0.6135219337735094,0.5514130652260905,0.6733455882352941,True,Mann-Whitney U
T1_frontal_ed_ratio,MGMT_binary,413,113.0,300.0,0.0259745625353562,0.0284713480527659,16904.0,0.9664387184538059,0.9972973848528418,0.002713864306784661,0.5028814749262537,0.437896017699115,0.5687839233038348,False,Mann-Whitney U
T1_frontal_en_ratio,IDH_binary,494,392.0,102.0,0.00598270503500015,0.0,30473.5,1.7736254577806717e-16,1.4189003662245373e-15,-0.5242847138855542,0.23779180422168866,0.1851156087434974,0.2919824179671868,True,Mann-Whitney U
T1_frontal_en_ratio,MGMT_binary,413,113.0,300.0,0.0045914726094413,0.0063081443233416,16538.5,0.7030991163426579,0.9444612238338708,0.024277286135693216,0.5145637315634218,0.45276401179941,0.5759321533923303,False,Mann-Whitney U
T1_frontal_nc_ratio,IDH_binary,494,392.0,102.0,0.0011464971735777,0.0,29743.5,8.21662231440089e-15,4.3821985676804746e-14,-0.4877701080432173,0.2562558023209284,0.20317752100840336,0.31212234893957574,True,Mann-Whitney U
T1_frontal_nc_ratio,MGMT_binary,413,113.0,300.0,0.001259507566847,0.00117808006612365,17095.0,0.892665549630332,0.9830618103806888,-0.00855457227138643,0.4978512684365782,0.43529424778761067,0.5583997050147492,False,Mann-Whitney U
T1_temporal_ed_ratio,IDH_binary,494,392.0,102.0,0.02213102759442065,0.022596380386003048,21298.0,0.30882375276607255,0.5899916470754819,-0.06532613045218087,0.468202918667467,0.4054340486194478,0.5310899359743897,False,Mann-Whitney U
T1_temporal_ed_ratio,MGMT_binary,413,113.0,300.0,0.0260527987984518,0.0208546415433771,17844.0,0.4083226777655061,0.6851590139777474,-0.05274336283185841,0.4726509882005899,0.4063425516224189,0.536625,False,Mann-Whitney U
T1_temporal_en_ratio,IDH_binary,494,392.0,102.0,0.0059633259862983,0.0,31119.0,8.5551128104333e-19,9.125453664462187e-18,-0.5565726290516206,0.22130562224889958,0.1777373449379752,0.2668082858143257,True,Mann-Whitney U
T1_temporal_en_ratio,MGMT_binary,413,113.0,300.0,0.0037725531822014,0.0056947665880163,16611.0,0.7520003292393409,0.9541837580934647,0.02,0.5095797935103246,0.443584808259587,0.5730353982300884,False,Mann-Whitney U
T1_temporal_nc_ratio,IDH_binary,494,392.0,102.0,0.00050309787766445,0.0,29493.0,4.1767332090307484e-15,2.324442829373634e-14,-0.4752400960384154,0.26256815226090435,0.22207695578231296,0.30750956632653065,True,Mann-Whitney U
T1_temporal_nc_ratio,MGMT_binary,413,113.0,300.0,0.0001744903886718,0.00036095282826225,17204.0,0.8078539033602122,0.9664046694402539,-0.014985250737463127,0.49165575221238944,0.4288414454277287,0.5551047197640117,False,Mann-Whitney U
T1_parietal_ed_ratio,IDH_binary,494,392.0,102.0,0.01440891885614155,0.0,27735.0,1.3103626486184663e-09,5.082618758277687e-09,-0.3873049219687875,0.3071654786914766,0.24644045118047217,0.37085084033613447,True,Mann-Whitney U
T1_parietal_ed_ratio,MGMT_binary,413,113.0,300.0,0.0149124274358926,0.01039305901101255,17619.5,0.5348984791895852,0.8223791147211378,-0.039498525073746314,0.47891685840707965,0.41548377581120943,0.5407160766961652,False,Mann-Whitney U
T1_parietal_en_ratio,IDH_binary,494,392.0,102.0,0.00021866908737439998,0.0,28436.0,1.1896162411385342e-12,5.438245673776157e-12,-0.4223689475790316,0.2891793842537015,0.2509191176470588,0.3317139355742297,True,Mann-Whitney U
T1_parietal_en_ratio,MGMT_binary,413,113.0,300.0,0.0,9.896317751742164e-05,16637.0,0.7599961410538179,0.9602103627638596,0.018466076696165193,0.5082905014749263,0.4508473451327433,0.5660125368731562,False,Mann-Whitney U
T1_parietal_nc_ratio,IDH_binary,494,392.0,102.0,0.0,0.0,27765.5,5.5549618809080546e-12,2.2219847523632218e-11,-0.38883053221288516,0.3062415966386554,0.27309986494597843,0.34614595838335327,True,Mann-Whitney U
T1_parietal_nc_ratio,MGMT_binary,413,113.0,300.0,0.0,0.0,16737.0,0.8277777145308594,0.9750694379385694,0.012566371681415929,0.5052602802359882,0.44768399705014744,0.5592758112094395,False,Mann-Whitney U
T1_occipital_ed_ratio,IDH_binary,494,392.0,102.0,0.00031734128039245,0.0,25684.0,1.9894417629094144e-06,5.305178034425105e-06,-0.28471388555422167,0.3567010804321729,0.3024187800120048,0.4085362269907963,True,Mann-Whitney U
T1_occipital_ed_ratio,MGMT_binary,413,113.0,300.0,0.0004720520350411,3.0460246260206362e-05,17543.5,0.5624752970151707,0.8470216237404924,-0.03501474926253687,0.4813577286135693,0.4258952802359882,0.5389450589970501,False,Mann-Whitney U
T1_occipital_en_ratio,IDH_binary,494,392.0,102.0,0.0,0.0,25511.0,2.651394746484064e-08,8.484463188749005e-08,-0.27606042416966786,0.36236228241296514,0.3351118572428971,0.3916679171668668,True,Mann-Whitney U
T1_occipital_en_ratio,MGMT_binary,413,113.0,300.0,0.0,0.0,17860.0,0.2956146516134973,0.5733132637352675,-0.05368731563421829,0.4721969321533923,0.42017367256637167,0.5219705014749263,False,Mann-Whitney U
T1_occipital_nc_ratio,IDH_binary,494,392.0,102.0,0.0,0.0,24691.0,3.14891751743823e-07,9.16048732345667e-07,-0.23504401760704283,0.38282261654661864,0.35712191126450576,0.41156868997599033,True,Mann-Whitney U
T1_occipital_nc_ratio,MGMT_binary,413,113.0,300.0,0.0,0.0,17950.0,0.21529935444319181,0.42397411336505464,-0.058997050147492625,0.4698223156342183,0.42132522123893806,0.5160549410029498,False,Mann-Whitney U
T1GD_global_nc_en_ratio,IDH_binary,494,392.0,102.0,0.38066264748885786,0.0,33480.0,5.378880191119475e-26,1.1474944407721547e-24,-0.6746698679471789,0.16187003551420567,0.11224177170868349,0.21757484243697475,True,Mann-Whitney U
T1GD_global_nc_en_ratio,MGMT_binary,413,113.0,300.0,0.417103162376404,0.3313241251877221,18968.5,0.061922784624394656,0.12784058761165348,-0.11908554572271386,0.44211325958702063,0.3781268436578171,0.507143436578171,False,Mann-Whitney U
T1GD_global_ed_en_ratio,IDH_binary,494,392.0,102.0,2.5348741835997046,0.0,24382.0,0.0006188688734358951,0.0014669484407369366,-0.2195878351340536,0.3897989695878351,0.3092877776110444,0.4750212585034014,True,Mann-Whitney U
T1GD_global_ed_en_ratio,MGMT_binary,413,113.0,300.0,2.70422226551086,2.7464284985410563,17179.0,0.8326509829096076,0.9795904068677188,-0.013510324483775812,0.4948686725663717,0.434813053097345,0.5603012536873156,False,Mann-Whitney U
T1GD_global_ed_total_ratio,IDH_binary,494,392.0,102.0,0.6641195550188057,1.0,4900.0,5.766798336007869e-32,2.4605006233633575e-30,0.7549019607843137,0.8773892932172869,0.8343005952380951,0.9205776060424171,True,Mann-Whitney U
T1GD_global_ed_total_ratio,MGMT_binary,413,113.0,300.0,0.6732387593171435,0.6759033914539005,17036.0,0.936980788019094,0.99118628815243,-0.005073746312684366,0.4967246017699115,0.43510471976401177,0.5595508849557522,False,Mann-Whitney U
T1GD_tumor_burden_index,IDH_binary,494,392.0,102.0,0.0549444185741008,0.042017273406980596,22539.0,0.047384838508763204,0.10145944119817704,-0.12740096038415366,0.4371744697879152,0.3728235044017607,0.5053815276110445,False,Mann-Whitney U
T1GD_tumor_burden_index,MGMT_binary,413,113.0,300.0,0.0574505128130863,0.05575500078256775,17291.0,0.7528733323860373,0.9545544816211712,-0.020117994100294984,0.4907436578171091,0.42897935103244844,0.5576740412979351,False,Mann-Whitney U
T1GD_frontal_ed_ratio,IDH_binary,494,392.0,102.0,0.0231343276970306,0.0395473155753708,15528.5,0.0005103031690033855,0.0012912881695320603,0.22326430572228892,0.6127437850140056,0.55031262505002,0.6733046343537415,True,Mann-Whitney U
T1GD_frontal_ed_ratio,MGMT_binary,413,113.0,300.0,0.0248509789779597,0.0276643200476137,16929.0,0.9848756597860501,1.0,0.001238938053097345,0.5021234955752212,0.4385081120943952,0.5682927728613569,False,Mann-Whitney U
T1GD_frontal_en_ratio,IDH_binary,494,392.0,102.0,0.0059605951867458,0.0,30631.0,6.543290652410391e-17,6.315291459125543e-16,-0.5321628651460584,0.23382711834733894,0.18094237695078028,0.2886467086834734,True,Mann-Whitney U
T1GD_frontal_en_ratio,MGMT_binary,413,113.0,300.0,0.0048202164166019,0.0061754208351532495,16438.0,0.6353724329446186,0.9267767461950415,0.030206489675516226,0.5176015191740413,0.45706157817109144,0.5780188053097345,False,Mann-Whitney U
T1GD_frontal_nc_ratio,IDH_binary,494,392.0,102.0,0.0011397981103277999,0.0,29896.0,3.3673832969159287e-15,2.1009606694756683e-14,-0.4953981592637055,0.2524261329531812,0.1983252676070428,0.3074407888155261,True,Mann-Whitney U
T1GD_frontal_nc_ratio,MGMT_binary,413,113.0,300.0,0.0012680048915427,0.0011605852481856001,17022.5,0.9464382843296689,0.9915170138719499,-0.004277286135693215,0.4999963126843658,0.4377558997050148,0.5615232300884956,False,Mann-Whitney U
T1GD_temporal_ed_ratio,IDH_binary,494,392.0,102.0,0.0229494029254935,0.02192518186757,21216.0,0.3402953160332316,0.6287399485400701,-0.061224489795918366,0.47029415516206485,0.40634566326530613,0.5336278261304521,False,Mann-Whitney U
T1GD_temporal_ed_ratio,MGMT_binary,413,113.0,300.0,0.0281454783020272,0.0219281877928537,17812.0,0.4253975598278855,0.7032913766173423,-0.05085545722713864,0.47369707964601776,0.40688311209439526,0.5380884955752212,False,Mann-Whitney U
T1GD_temporal_en_ratio,IDH_binary,494,392.0,102.0,0.0061268827311535,0.0,31181.0,5.662303329997744e-19,7.128965727508242e-18,-0.5596738695478192,0.2196891131452581,0.17764324479791918,0.26584477541016405,True,Mann-Whitney U
T1GD_temporal_en_ratio,MGMT_binary,413,113.0,300.0,0.0033373611830369,0.0059268651773545,16475.0,0.6578750180100432,0.9360636073014947,0.028023598820058997,0.5136475516224188,0.4478882743362832,0.5766061946902654,False,Mann-Whitney U
