feature_name,modality,lobe,subregion,mean_abs_shap,std_abs_shap,cv_abs_shap,median_rank,rank_iqr,freq_top5_pct,freq_top10_pct
T1_tumor_burden_index,T1,global,tumor_burden,0.11742766631842594,0.002314197466056522,0.01970742959143176,1.0,0.0,100.0,100.0
T1_global_ed_total_ratio,T1,global,ed_total,0.11035816581250917,0.008844845451431936,0.08014672395388224,2.0,0.0,100.0,100.0
T2_tumor_burden_index,T2,global,tumor_burden,0.02975292370194198,0.000714397052068903,0.024010986591622728,3.0,0.25,100.0,100.0
T2_temporal_ed_ratio,T2,temporal,ed,0.02596450653342157,0.005772911501110504,0.22233857954048153,4.0,1.0,76.0,98.0
T1_occipital_ed_ratio,T1,occipital,ed,0.021583768206864598,0.0028927882351947112,0.1340260981061998,6.0,2.0,46.0,100.0
T1_frontal_ed_ratio,T1,frontal,ed,0.02110850904258713,0.0015000027704315684,0.07106152156010935,6.0,2.0,39.0,100.0
T2_occipital_ed_ratio,T2,occipital,ed,0.019999525961361828,0.0027796842307790575,0.13898750581135177,7.0,2.0,17.0,100.0
T2_global_ed_total_ratio,T2,global,ed_total,0.019275825355689974,0.003501973785521177,0.1816769824845627,7.5,2.0,19.0,99.0
T1_frontal_en_ratio,T1,frontal,en,0.014704734558194875,0.0020170302316689743,0.13716876178121104,10.0,1.0,0.0,78.0
T1GD_global_ed_total_ratio,T1GD,global,ed_total,0.01333208747111261,0.0011750685333322122,0.08813837562034452,10.5,1.0,0.0,50.0
T1_parietal_ed_ratio,T1,parietal,ed,0.012482145306490366,0.0008446534155463073,0.06766892988396082,11.0,1.0,0.0,22.0
T2_frontal_ed_ratio,T2,frontal,ed,0.011419346907138826,0.002025688868311242,0.1773909563115977,12.0,2.0,0.0,22.0
T2_frontal_en_ratio,T2,frontal,en,0.010428417113270612,0.006155820318213161,0.5902928748773976,13.0,5.0,3.0,30.0
T1_occipital_nc_ratio,T1,occipital,nc,0.006481612659931183,0.0024724604905625763,0.3814576125239837,14.0,2.0,0.0,0.0
T1_frontal_nc_ratio,T1,frontal,nc,0.004818054703854956,0.0033894755153705916,0.7034946101086504,15.0,3.0,0.0,1.0
T1GD_occipital_ed_ratio,T1GD,occipital,ed,0.00283497834777832,0.001190107538619434,0.41979422507832637,16.0,2.0,0.0,0.0
T1GD_frontal_en_ratio,T1GD,frontal,en,0.002427957912504674,0.0017910165485488885,0.7376637541057214,17.0,7.75,0.0,0.0
T1_temporal_ed_ratio,T1,temporal,ed,0.0021839012686014187,0.0009027599558874815,0.41337031525496276,17.0,2.0,0.0,0.0
T2_occipital_en_ratio,T2,occipital,en,0.0009086695497185008,0.0005515507247670244,0.6069871329328586,19.0,1.25,0.0,0.0
T1_occipital_en_ratio,T1,occipital,en,0.0004178149985335774,0.0005913684629983927,1.415383519198552,20.0,2.0,0.0,0.0
