group,comparison,auc_a,auc_b,delta_auc,ci_lower,ci_upper,p_value,p_value_adjusted,significant
Baseline [Spatial Only],Logistic Regression vs Random Forest [Spatial Only],0.6033,0.669,0.0653,-0.0214,0.1544,0.1464,0.8784,No
Baseline [Spatial Only],Logistic Regression vs XGBoost [Spatial Only],0.6033,0.6574,0.0539,-0.0395,0.1492,0.2654,0.8848,No
Baseline [Spatial Only],Logistic Regression vs SVM (RBF) [Spatial Only],0.6033,0.6322,0.0289,-0.0464,0.1022,0.4336,0.8848,No
Baseline [Spatial Only],Random Forest vs XGBoost [Spatial Only],0.669,0.6574,-0.0114,-0.0704,0.0437,0.7108,0.948,No
Baseline [Spatial Only],Random Forest vs SVM (RBF) [Spatial Only],0.669,0.6322,-0.0364,-0.1237,0.0453,0.3982,0.8848,No
Baseline [Spatial Only],XGBoost vs SVM (RBF) [Spatial Only],0.6574,0.6322,-0.025,-0.1232,0.0737,0.6238,0.948,No
Baseline [Clinical + Molecular],Logistic Regression vs Random Forest [Clinical + Molecular],0.7669,0.757,-0.0101,-0.0673,0.0437,0.7248,0.948,No
Baseline [Clinical + Molecular],Logistic Regression vs XGBoost [Clinical + Molecular],0.7669,0.7554,-0.0117,-0.0729,0.0482,0.7062,0.948,No
Baseline [Clinical + Molecular],Logistic Regression vs SVM (RBF) [Clinical + Molecular],0.7669,0.7616,-0.0055,-0.0396,0.0278,0.742,0.948,No
Baseline [Clinical + Molecular],Random Forest vs XGBoost [Clinical + Molecular],0.757,0.7554,-0.0015,-0.0297,0.029,0.919,0.948,No
Baseline [Clinical + Molecular],Random Forest vs SVM (RBF) [Clinical + Molecular],0.757,0.7616,0.0046,-0.0453,0.0544,0.8582,0.948,No
Baseline [Clinical + Molecular],XGBoost vs SVM (RBF) [Clinical + Molecular],0.7554,0.7616,0.0061,-0.0453,0.056,0.8032,0.948,No
Baseline [Combined],Logistic Regression vs Random Forest [Combined],0.7281,0.7616,0.033,-0.0266,0.0959,0.2964,0.8848,No
Baseline [Combined],Logistic Regression vs XGBoost [Combined],0.7281,0.7632,0.0349,-0.0384,0.1116,0.3634,0.8848,No
Baseline [Combined],Logistic Regression vs SVM (RBF) [Combined],0.7281,0.6975,-0.0305,-0.1102,0.0491,0.4424,0.8848,No
Baseline [Combined],Random Forest vs XGBoost [Combined],0.7616,0.7632,0.0019,-0.0553,0.056,0.948,0.948,No
Baseline [Combined],Random Forest vs SVM (RBF) [Combined],0.7616,0.6975,-0.0635,-0.1492,0.0157,0.13,0.8784,No
Baseline [Combined],XGBoost vs SVM (RBF) [Combined],0.7632,0.6975,-0.0654,-0.1501,0.0172,0.1248,0.8784,No
